I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
6,-27,-25,8,16,-33,8,23,27,31,12,0
8,-27,-27,6,18,-34,8,23,27,31,11,-1
10,-27,-29,6,20,-36,8,23,27,31,11,-1
10,-27,-29,6,20,-36,8,23,27,31,11,-1
8,-27,-27,6,18,-34,8,23,27,31,12,-1
8,-27,-26,7,17,-34,8,23,27,31,12,-1
6,-27,-25,8,16,-33,9,23,27,31,13,0
8,-27,-26,7,17,-34,8,23,26,31,12,-1
8,-27,-26,7,17,-34,8,22,25,30,11,-2
8,-27,-26,7,17,-34,7,21,24,29,11,-2
8,-26,-26,6,18,-33,7,21,24,29,10,-2
8,-26,-26,6,18,-33,6,21,24,29,10,-2
7,-26,-25,7,16,-32,6,21,24,30,11,-2
6,-26,-24,8,15,-31,6,21,24,30,11,-2
5,-26,-22,8,14,-30,6,21,25,31,11,-2
5,-26,-22,8,14,-30,6,21,25,31,12,-2
4,-26,-21,9,13,-29,6,22,26,33,13,-1
3,-26,-20,10,11,-28,6,22,27,33,14,0
2,-26,-19,11,11,-28,6,23,28,34,15,1
3,-26,-20,10,11,-28,5,22,27,33,14,0
5,-24,-21,7,13,-28,4,22,27,33,13,0
7,-22,-22,5,15,-28,3,21,27,33,12,-1
8,-20,-22,3,16,-27,2,21,27,33,12,-1
7,-22,-22,5,15,-28,2,21,27,33,12,-1
6,-22,-21,6,14,-28,2,21,27,33,12,-1
5,-24,-21,7,13,-28,2,21,27,33,12,-1
4,-24,-20,8,12,-27,2,22,27,33,13,-1
5,-22,-20,7,12,-26,0,21,26,33,11,-2
6,-20,-20,5,13,-25,0,20,26,31,11,-4
7,-18,-20,4,14,-25,-0,19,25,31,10,-4
8,-16,-20,2,14,-23,-0,19,25,30,9,-6
8,-16,-19,3,13,-22,-0,18,25,30,9,-7
6,-16,-17,3,12,-22,-0,18,25,30,9,-7
5,-16,-16,4,11,-21,-0,18,25,30,9,-7
4,-16,-15,5,10,-19,-0,18,25,31,10,-7
4,-16,-15,5,10,-19,-0,18,25,31,11,-6
3,-16,-14,6,9,-19,-0,19,26,31,11,-4
2,-16,-13,6,7,-18,-0,19,27,33,12,-4
1,-16,-12,7,6,-17,-0,20,28,33,13,-2
3,-16,-14,6,9,-19,-0,20,28,33,13,-2
4,-16,-15,5,10,-19,-0,20,28,33,13,-2
5,-16,-16,4,11,-21,-0,20,28,33,13,-2
6,-16,-17,3,12,-22,-0,20,28,33,13,-2
5,-18,-17,5,11,-22,-0,20,28,33,13,-2
5,-18,-17,5,11,-22,-0,21,28,33,14,-1
4,-20,-17,6,11,-23,-0,21,28,34,15,0
4,-20,-17,6,11,-23,0,22,29,35,16,1
5,-20,-19,6,12,-25,-0,21,28,34,15,0
6,-20,-20,5,13,-25,-0,20,28,33,14,-1
8,-20,-21,4,15,-26,-0,19,28,33,13,-2
8,-20,-21,4,15,-26,-0,18,28,31,12,-2
8,-20,-21,4,15,-26,-1,18,28,31,12,-2
6,-20,-20,5,13,-25,-1,18,28,33,12,-2
6,-20,-20,5,13,-25,-1,18,28,33,12,-2
5,-20,-19,6,12,-25,-1,19,28,33,12,-2
4,-20,-17,6,11,-23,-1,20,29,34,13,-2
4,-18,-16,6,11,-22,-0,21,31,35,14,-1
3,-18,-15,7,9,-21,0,22,32,36,15,0
3,-16,-14,6,9,-19,2,23,33,38,16,1
4,-13,-13,3,9,-16,0,22,34,38,15,2
6,-7,-12,-1,9,-13,1,22,34,38,16,2
8,-4,-11,-3,10,-10,0,22,34,38,15,1
10,2,-9,-7,10,-6,1,22,35,39,16,2
8,4,-7,-6,8,-3,0,22,36,40,17,4
8,7,-4,-8,7,1,0,23,37,42,19,4
8,10,-2,-8,5,4,1,23,38,44,20,5
7,13,1,-10,3,8,2,24,40,45,23,8
8,17,3,-11,3,11,1,23,39,45,21,7
10,22,4,-15,4,14,-0,22,39,45,21,8
12,27,5,-19,4,18,-1,22,38,45,21,7
13,33,8,-22,3,23,-2,21,38,45,21,8
14,33,7,-23,4,22,-2,21,39,46,21,9
14,33,6,-24,5,22,-2,22,40,46,22,9
14,33,7,-23,4,22,-3,23,40,47,23,11
14,33,7,-23,4,22,-3,23,42,49,24,12
15,33,5,-24,6,21,-5,23,42,50,25,13
15,33,5,-24,6,21,-6,23,42,51,26,15
15,33,5,-24,6,21,-7,23,42,52,27,16
16,35,5,-26,6,22,-8,23,43,53,28,18
18,35,3,-27,9,20,-10,22,42,52,28,18
22,37,0,-31,12,19,-12,21,42,52,28,18
25,39,-2,-34,15,19,-13,19,42,51,28,18
27,41,-3,-36,16,19,-15,18,42,51,28,19
27,41,-3,-36,16,19,-17,17,41,50,29,20
28,43,-3,-38,17,19,-17,17,40,50,29,21
28,42,-3,-37,17,19,-18,16,39,50,30,22
28,44,-2,-38,17,21,-18,16,38,50,31,23
30,43,-4,-39,19,19,-18,14,36,48,29,22
32,43,-7,-40,21,16,-17,14,35,46,28,21
34,43,-9,-42,23,15,-17,13,34,45,27,20
35,42,-11,-42,24,13,-17,12,33,44,27,20
33,38,-11,-39,23,11,-15,11,32,43,26,19
31,35,-11,-36,23,10,-14,11,31,42,25,18
28,32,-10,-33,21,8,-13,11,30,41,24,17
28,30,-11,-31,21,7,-11,11,29,40,24,17
24,24,-10,-27,18,4,-9,11,28,39,22,15
20,20,-9,-22,16,3,-7,11,28,38,21,13
19,17,-9,-20,15,1,-5,11,28,37,20,13
15,13,-8,-15,12,0,-2,12,28,36,19,12
14,10,-9,-13,12,-2,-2,11,27,33,16,9
14,7,-10,-12,13,-4,-2,10,26,31,14,7
13,4,-12,-10,13,-7,-0,10,25,28,11,3
12,2,-12,-8,12,-7,1,9,24,27,10,2
9,-5,-13,-3,11,-13,3,9,23,25,8,-0
6,-11,-14,1,11,-16,5,9,22,24,7,-2
3,-18,-15,7,9,-21,6,10,22,23,5,-3
0,-24,-16,11,9,-25,8,10,22,22,4,-4
2,-28,-20,11,11,-30,8,10,21,20,3,-6
2,-31,-23,13,12,-33,9,9,20,18,1,-8
3,-35,-26,14,14,-37,9,8,19,16,-1,-10
4,-37,-28,14,16,-40,10,8,19,15,-2,-11
3,-41,-29,17,16,-43,11,8,18,15,-3,-12
0,-44,-29,20,15,-45,12,9,18,15,-3,-12
-1,-48,-30,22,14,-48,13,9,18,15,-4,-13
-3,-49,-29,24,13,-48,14,10,18,15,-4,-13
3,-47,-34,19,19,-50,12,7,16,12,-6,-15
8,-47,-39,15,24,-54,10,6,15,10,-9,-17
14,-44,-44,10,29,-56,8,3,13,7,-12,-19
20,-41,-49,4,35,-58,7,2,13,5,-13,-20
8,-49,-42,16,25,-57,11,6,17,9,-10,-18
-4,-59,-34,29,15,-57,15,10,23,13,-5,-15
-16,-68,-27,41,5,-55,18,14,28,16,-2,-12
-29,-76,-18,54,-6,-53,23,18,33,21,2,-9
-12,-61,-27,36,7,-52,18,13,31,23,1,-6
-18,-74,-29,46,4,-60,23,17,36,21,1,-10
-35,-86,-19,63,-9,-58,23,18,36,27,4,-4
24,-38,-51,0,38,-59,6,-2,11,4,-18,-26
19,-48,-52,8,36,-64,9,1,17,6,-15,-22
13,-55,-50,15,32,-66,13,4,18,4,-17,-22
23,-38,-50,1,37,-58,8,1,15,7,-12,-19
33,-31,-56,-9,45,-59,6,0,12,0,-17,-25
-30,-81,-21,57,-6,-57,24,19,35,24,2,-6
-25,-75,-22,51,-2,-55,21,16,27,21,0,-9
