I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-164,107,251,40,-237,226,-224,-177,-85,-42,-55,-211
-148,83,215,44,-207,188,-215,-164,-81,-42,-61,-214
-130,52,171,49,-172,142,-200,-146,-72,-41,-64,-215
-128,28,148,61,-157,113,-180,-129,-63,-40,-63,-211
-105,13,112,55,-123,81,-163,-113,-53,-36,-63,-212
-95,-0,91,56,-105,60,-141,-95,-38,-27,-62,-212
-91,-11,78,60,-96,45,-119,-79,-22,-17,-58,-212
-85,-16,68,58,-87,36,-106,-69,-11,-10,-54,-211
-73,-18,55,53,-72,26,-93,-61,-5,-8,-51,-215
-65,-22,44,51,-61,16,-87,-56,1,-2,-48,-212
-59,-29,32,51,-52,5,-80,-50,5,-2,-46,-211
-47,-33,17,46,-36,-8,-73,-46,4,-1,-45,-210
-43,-33,13,44,-32,-11,-66,-42,7,1,-47,-210
-40,-33,10,41,-27,-13,-63,-39,8,2,-47,-207
-40,-38,6,44,-25,-18,-59,-36,10,6,-48,-208
-38,-42,0,45,-21,-24,-59,-36,12,6,-49,-208
-42,-47,0,50,-23,-27,-56,-33,17,7,-49,-207
-42,-51,-4,52,-21,-32,-52,-31,19,7,-49,-207
-42,-53,-6,53,-19,-34,-50,-32,18,5,-49,-210
-40,-54,-8,52,-18,-36,-49,-31,19,5,-48,-209
-40,-54,-9,52,-17,-37,-48,-30,19,5,-47,-208
-39,-55,-10,52,-15,-38,-48,-30,20,6,-46,-207
-36,-55,-12,51,-13,-40,-47,-29,20,6,-46,-207
-34,-56,-15,50,-10,-42,-46,-28,20,6,-46,-206
-34,-58,-17,51,-8,-44,-45,-27,20,5,-46,-206
-33,-59,-19,51,-7,-47,-44,-26,20,4,-47,-206
-32,-61,-22,51,-5,-49,-44,-26,20,3,-48,-206
-31,-61,-22,51,-4,-49,-43,-26,20,3,-48,-206
-30,-59,-22,49,-4,-48,-42,-26,20,3,-48,-206
-30,-57,-20,48,-5,-46,-42,-26,21,4,-47,-206
-32,-55,-16,48,-8,-42,-41,-26,21,4,-47,-206
-32,-54,-15,48,-9,-41,-41,-25,21,5,-46,-205
-32,-53,-15,47,-8,-41,-41,-25,21,5,-46,-205
-31,-53,-15,47,-8,-40,-41,-24,21,4,-45,-204
-30,-53,-16,46,-7,-41,-40,-24,21,4,-45,-204
-30,-53,-17,46,-7,-41,-39,-23,21,3,-46,-204
-29,-54,-18,46,-6,-43,-39,-23,22,2,-47,-203
-29,-54,-19,46,-5,-44,-39,-23,22,2,-47,-203
-28,-55,-20,46,-4,-45,-39,-23,22,1,-48,-203
-28,-54,-20,45,-4,-44,-39,-23,22,1,-49,-203
-29,-53,-18,45,-5,-42,-38,-23,23,1,-49,-203
-29,-53,-17,45,-6,-42,-36,-23,24,0,-48,-203
-28,-53,-18,45,-5,-42,-35,-22,24,-0,-48,-203
-28,-53,-19,44,-4,-43,-34,-22,24,-1,-47,-202
-27,-53,-19,44,-4,-43,-34,-22,24,-2,-47,-202
-26,-53,-21,44,-2,-44,-33,-22,24,-2,-47,-201
-25,-53,-21,43,-2,-44,-32,-22,24,-3,-47,-201
-25,-53,-21,43,-2,-44,-32,-22,25,-3,-47,-200
-25,-53,-22,43,-1,-45,-31,-22,25,-3,-48,-200
-24,-52,-22,42,-0,-44,-31,-22,25,-4,-49,-200
-23,-51,-21,41,-0,-43,-30,-21,25,-5,-49,-200
-23,-50,-21,41,-0,-43,-30,-21,25,-5,-49,-199
-23,-50,-22,40,0,-43,-30,-21,25,-5,-49,-199
-22,-50,-22,40,1,-44,-29,-20,25,-5,-48,-199
-21,-50,-23,40,2,-44,-28,-20,25,-4,-48,-198
-21,-50,-24,39,3,-45,-28,-19,26,-4,-48,-197
-20,-51,-25,39,4,-46,-28,-19,27,-4,-48,-197
-19,-53,-27,40,5,-48,-27,-18,27,-4,-48,-197
-19,-54,-29,40,7,-50,-27,-18,28,-3,-48,-196
