I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
13,-35,-31,29,27,-36,5,17,-3,16,-4,-20
12,-34,-30,27,25,-34,5,13,-6,13,-5,-18
12,-32,-29,26,25,-33,4,10,-9,10,-6,-17
12,-30,-28,24,24,-31,3,6,-11,6,-7,-15
11,-28,-25,22,22,-29,3,2,-13,2,-8,-14
10,-25,-23,20,20,-26,2,-1,-15,-1,-9,-12
9,-22,-20,17,17,-22,1,-3,-16,-5,-10,-11
7,-19,-17,16,15,-20,0,-5,-18,-7,-11,-10
6,-18,-16,16,14,-18,-1,-8,-20,-9,-11,-10
5,-17,-14,15,12,-17,-2,-10,-21,-12,-12,-9
4,-16,-13,15,11,-15,-3,-12,-22,-13,-13,-9
3,-15,-12,14,10,-14,-3,-14,-23,-15,-13,-8
3,-14,-11,13,9,-13,-4,-16,-24,-16,-12,-7
3,-13,-11,12,9,-13,-4,-18,-25,-16,-11,-6
3,-13,-11,12,9,-13,-5,-18,-25,-16,-11,-5
3,-13,-11,12,9,-13,-5,-19,-26,-16,-11,-5
3,-13,-11,12,9,-13,-5,-19,-26,-16,-11,-5
3,-13,-11,12,9,-13,-5,-19,-26,-16,-11,-5
3,-13,-11,12,9,-13,-5,-19,-26,-16,-11,-5
-2,-12,-8,15,5,-11,-3,-20,-29,-18,-13,-0
-9,-11,-4,19,0,-8,-2,-22,-32,-21,-14,6
-11,-11,-2,20,-2,-6,-1,-23,-34,-22,-15,8
-12,-11,-2,20,-2,-6,-1,-23,-34,-22,-15,9
-13,-11,-2,20,-3,-6,-0,-23,-34,-22,-15,10
-13,-11,-2,20,-3,-6,1,-23,-34,-23,-15,10
-13,-11,-2,20,-3,-6,3,-23,-34,-24,-15,11
-13,-11,-2,20,-3,-6,4,-23,-34,-25,-15,12
-13,-11,-2,20,-3,-6,6,-23,-34,-26,-15,13
-13,-11,-2,20,-3,-6,7,-23,-34,-26,-15,13
-13,-11,-2,20,-3,-6,8,-23,-34,-27,-15,13
-13,-11,-2,20,-3,-6,9,-23,-34,-27,-15,13
-13,-11,-2,20,-3,-6,10,-23,-34,-26,-15,13
-13,-11,-2,20,-3,-6,11,-23,-34,-25,-15,13
-13,-11,-2,20,-3,-6,12,-23,-34,-24,-15,13
-13,-11,-2,20,-3,-6,12,-23,-34,-23,-15,13
-13,-11,-2,20,-3,-6,13,-23,-34,-22,-15,13
-13,-11,-2,20,-3,-6,13,-23,-34,-22,-15,12
-13,-11,-2,20,-3,-6,13,-23,-34,-22,-15,11
-13,-11,-2,20,-3,-6,13,-23,-34,-22,-15,10
-14,-11,-1,21,-3,-6,14,-23,-34,-22,-16,10
-16,-11,0,23,-5,-5,14,-23,-34,-23,-17,10
-19,-11,1,25,-7,-4,15,-23,-34,-24,-18,9
-22,-11,3,26,-9,-3,16,-23,-34,-25,-19,9
-24,-11,4,28,-10,-3,17,-23,-34,-26,-20,9
-24,-11,4,28,-11,-3,18,-23,-34,-26,-20,9
-25,-11,4,29,-11,-2,19,-23,-34,-27,-21,9
-25,-11,4,29,-11,-2,20,-23,-34,-27,-21,9
-25,-11,4,29,-11,-2,20,-23,-34,-27,-21,9
-25,-11,4,29,-11,-2,20,-23,-34,-27,-21,9
-25,-11,4,29,-11,-2,21,-23,-34,-27,-21,9
-25,-11,4,29,-11,-2,21,-23,-34,-27,-21,9
-25,-11,4,29,-11,-2,20,-23,-34,-26,-21,9
-25,-11,4,29,-11,-2,19,-23,-34,-25,-21,8
-25,-11,4,29,-11,-2,19,-23,-34,-24,-21,7
-25,-11,4,29,-11,-2,18,-23,-34,-23,-21,6
-25,-11,4,29,-11,-2,17,-23,-34,-22,-21,6
-25,-11,4,29,-11,-2,16,-22,-34,-21,-21,6
-25,-11,4,29,-11,-2,15,-20,-33,-20,-21,5
-25,-11,4,29,-11,-2,14,-19,-33,-19,-21,5
-25,-10,5,27,-12,-1,14,-18,-32,-18,-20,5
-25,-7,7,24,-14,2,14,-18,-31,-18,-19,5
-25,-3,10,20,-15,5,13,-17,-31,-17,-18,5
-25,1,13,16,-17,9,13,-17,-30,-17,-17,5
-25,4,15,13,-19,11,13,-17,-30,-17,-16,6
-25,5,16,12,-19,12,13,-17,-30,-17,-15,7
-25,5,16,12,-19,12,13,-17,-30,-17,-15,7
-25,5,16,12,-19,12,13,-17,-30,-17,-15,8
-25,5,16,12,-19,12,13,-17,-30,-17,-15,9
-25,5,16,12,-19,12,13,-17,-30,-17,-15,9
-25,5,16,12,-19,12,13,-17,-30,-17,-15,9
-25,5,16,12,-19,12,13,-17,-30,-17,-15,9
-25,5,16,12,-19,12,13,-17,-30,-17,-15,9
