I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-1,-16,-26,11,30,-20,6,-19,7,-1,-5,4
-6,-16,-23,14,20,-19,6,-19,8,1,-2,8
-13,-14,-12,15,-2,-14,6,-19,7,-0,-2,5
-2,-10,-16,9,15,-13,6,-20,5,-1,-4,5
-4,-16,-23,13,22,-18,5,-21,4,-0,-4,7
-6,-10,-12,10,7,-11,5,-22,5,-1,-2,5
-4,-8,-11,7,8,-9,5,-22,6,0,-2,5
0,-12,-21,9,25,-16,6,-22,6,-0,-2,6
-2,-10,-16,9,15,-13,6,-20,7,-2,-4,4
-11,-14,-14,14,3,-15,7,-21,7,-1,-4,4
5,-10,-21,5,30,-14,6,-21,5,-3,-6,1
1,-10,-18,6,22,-13,6,-21,6,-1,-4,4
1,-14,-25,9,30,-18,6,-20,5,-1,-5,2
-6,-16,-21,13,18,-18,7,-21,3,-1,-4,4
9,-10,-25,4,38,-15,8,-21,4,-1,-4,4
-13,-12,-7,13,-7,-10,9,-21,5,-1,-3,4
0,-12,-21,9,25,-16,6,-22,3,-2,-4,4
-2,-12,-18,9,18,-14,9,-21,5,-2,-5,2
-4,-12,-18,10,17,-15,9,-22,5,-1,-4,4
-2,-12,-18,9,18,-14,8,-21,5,-2,-6,2
0,-10,-18,7,20,-13,9,-22,5,-2,-5,4
-6,-12,-16,11,12,-14,8,-21,5,-2,-7,2
-2,-10,-16,9,15,-13,10,-22,3,-1,-7,2
-2,-6,-7,5,5,-6,9,-22,1,-2,-8,1
1,-8,-16,6,20,-11,8,-23,2,-1,-5,4
-7,-16,-21,14,17,-18,12,-20,5,-0,-4,5
-1,-12,-19,9,22,-15,11,-22,5,-0,-5,4
1,-6,-12,4,15,-8,11,-22,4,0,-4,4
-6,-12,-14,11,10,-13,11,-22,3,-0,-6,4
-7,-18,-25,15,20,-21,11,-22,4,-0,-4,4
-4,-18,-29,14,28,-23,11,-22,3,-0,-6,4
-4,-12,-18,10,17,-15,11,-22,4,1,-5,6
-13,-22,-26,20,15,-24,13,-21,5,1,-5,7
-2,-16,-25,12,27,-19,11,-22,4,-0,-6,5
0,-18,-32,13,37,-24,13,-21,4,1,-5,8
-2,-20,-32,14,35,-25,14,-20,4,0,-4,9
-10,-18,-23,17,15,-21,13,-21,4,-1,-5,7
5,-12,-26,7,37,-17,13,-22,3,-1,-6,5
-10,-16,-18,14,10,-17,14,-22,3,-1,-6,4
-6,-10,-12,10,7,-11,14,-22,3,-2,-5,4
-4,-4,-4,5,0,-4,13,-23,2,-2,-6,4
-12,-12,-9,13,-3,-11,12,-24,3,-2,-6,6
-10,-18,-23,17,15,-21,15,-21,5,-1,-6,6
-6,-18,-25,14,22,-21,15,-21,5,0,-6,5
-6,-10,-12,10,7,-11,14,-21,2,-2,-8,4
-11,-14,-14,14,3,-15,14,-22,3,-1,-7,4
-6,-8,-7,8,2,-7,14,-22,2,-2,-9,2
3,-6,-12,3,17,-8,13,-23,1,-1,-8,1
-10,-2,7,5,-20,2,13,-24,0,-4,-10,-1
-12,-12,-9,13,-3,-11,15,-23,3,-0,-6,4
-8,-24,-34,19,30,-28,17,-21,5,-1,-7,4
-13,-10,-5,12,-10,-8,15,-23,3,-2,-7,2
-12,-16,-16,15,5,-16,14,-23,2,-2,-9,2
-4,-12,-18,10,17,-15,15,-23,2,-1,-8,2
0,-12,-21,9,25,-16,14,-23,1,-2,-8,4
-15,-22,-24,20,10,-23,15,-21,4,-0,-7,5
-7,-17,-23,14,18,-19,18,-20,5,1,-6,5
-4,-12,-16,10,13,-13,16,-21,4,2,-5,8
-10,-14,-14,13,5,-14,19,-20,6,3,-4,7
-10,-6,-1,9,-10,-5,19,-20,6,3,-4,8
0,2,4,0,-3,3,17,-22,6,2,-5,4
-6,2,11,1,-18,6,19,-22,6,2,-4,5
-8,3,14,2,-25,7,19,-21,5,2,-6,4
-6,4,14,0,-23,8,18,-22,6,3,-6,5
-8,3,14,2,-25,7,18,-21,6,4,-6,5
-4,2,9,1,-15,5,19,-20,7,3,-5,8
-6,4,14,0,-23,8,20,-21,6,4,-3,9
4,4,4,-3,0,4,19,-20,7,5,-2,10
1,6,11,-4,-10,8,20,-20,7,4,-4,7
13,12,11,-12,2,13,19,-21,6,3,-4,7
9,12,14,-11,-7,14,20,-20,9,7,-0,11
4,10,14,-7,-12,12,22,-20,11,9,-0,12
-1,4,9,-1,-12,6,26,-17,12,9,0,11
-1,6,13,-3,-15,9,26,-16,11,8,-0,10
-5,12,26,-5,-37,17,27,-17,11,8,-0,10
-4,20,41,-11,-53,29,27,-15,12,10,0,11
0,28,50,-18,-58,37,25,-15,14,11,2,12
11,34,52,-26,-47,42,23,-15,14,12,3,14
18,38,52,-31,-40,45,20,-15,15,14,4,18
14,38,56,-30,-48,46,15,-19,14,11,2,14
30,40,43,-36,-17,42,11,-21,13,11,3,16
24,36,43,-32,-23,40,12,-22,12,12,4,18
26,36,39,-32,-17,38,10,-22,11,12,3,15
27,46,56,-39,-33,51,10,-24,10,12,6,20
33,45,50,-41,-22,48,10,-23,11,15,8,22
26,50,64,-42,-45,57,11,-22,12,17,11,25
36,47,50,-44,-17,50,9,-22,12,16,10,25
42,37,26,-39,17,35,11,-18,13,18,11,30
46,36,21,-40,27,32,10,-18,14,17,10,28
57,39,16,-46,47,32,8,-19,13,17,10,28
57,40,18,-46,43,34,6,-22,11,14,7,23
51,40,24,-44,30,36,7,-21,11,15,10,23
48,40,25,-43,25,36,10,-19,13,16,10,23
46,42,32,-44,15,40,9,-20,11,15,10,24
37,38,34,-38,3,38,10,-22,10,15,9,26
27,32,32,-30,-7,34,12,-23,9,13,6,23
25,31,32,-29,-8,33,11,-24,7,11,4,20
20,30,36,-27,-18,34,11,-25,5,10,2,17
1,22,39,-14,-43,29,14,-23,6,9,-1,15
2,10,16,-6,-15,13,16,-22,5,8,-2,9
2,-0,-2,0,5,-1,16,-24,3,5,-5,7
-4,-4,-4,5,0,-4,18,-23,5,7,-5,7
-13,-4,6,9,-22,-1,17,-24,2,4,-7,3
-17,0,18,6,-40,7,15,-28,-1,1,-11,-1
-16,7,29,2,-50,15,13,-30,-4,-0,-13,-2
-26,-12,4,18,-33,-7,15,-29,-3,2,-11,2
-18,-30,-34,27,18,-32,21,-24,0,3,-9,3
-16,-18,-16,18,0,-17,19,-26,-2,1,-11,-1
-21,-21,-16,22,-5,-19,19,-26,-3,0,-13,-1
-13,-28,-36,24,27,-31,20,-26,-3,0,-12,-1
-8,-24,-34,19,30,-28,21,-26,-1,-0,-13,-5
-13,-22,-25,20,13,-23,19,-27,-3,-2,-15,-5
-10,-24,-32,20,27,-27,19,-26,-4,-3,-15,-5
-16,-25,-29,23,15,-27,20,-25,-4,-2,-15,-5
-19,-29,-32,27,15,-30,20,-25,-4,-2,-13,-5
-24,-24,-18,25,-7,-22,21,-25,-4,-3,-15,-5
-30,-26,-16,29,-17,-23,23,-24,-4,-2,-14,-6
-17,-22,-21,21,5,-22,23,-24,-3,-1,-14,-5
-23,-27,-25,27,3,-27,24,-23,-3,-1,-14,-6
-27,-32,-30,31,5,-32,23,-24,-4,-2,-15,-7
-24,-28,-25,28,2,-27,23,-25,-5,-3,-16,-10
-27,-29,-25,29,-2,-28,21,-26,-5,-3,-15,-10
-23,-27,-25,27,3,-27,22,-25,-6,-2,-16,-9
-21,-34,-39,30,22,-36,23,-25,-5,-1,-15,-8
-22,-32,-36,30,17,-34,25,-24,-5,-1,-15,-10
-33,-25,-12,29,-23,-21,23,-25,-5,-2,-16,-10
-31,-20,-6,26,-28,-15,23,-26,-7,-4,-17,-11
-22,-16,-7,20,-17,-13,24,-26,-8,-4,-18,-12
-27,-34,-34,32,8,-34,28,-22,-3,-0,-14,-6
-30,-36,-35,36,7,-37,27,-21,-4,-1,-16,-10
-15,-24,-29,22,17,-26,25,-23,-5,-2,-17,-10
-22,-28,-27,27,7,-28,25,-25,-5,-1,-16,-10
-30,-29,-23,31,-7,-27,25,-23,-5,-1,-17,-12
-13,-28,-37,24,28,-32,24,-25,-6,-2,-17,-12
-15,-30,-38,26,27,-33,26,-25,-7,-3,-17,-12
-24,-30,-29,29,5,-30,26,-24,-5,-2,-17,-10
-30,-29,-23,31,-7,-27,27,-23,-6,-1,-18,-10
-27,-31,-29,31,2,-31,30,-21,-4,-2,-16,-10
-32,-37,-35,37,5,-37,34,-15,-0,-1,-18,-12
-43,-48,-43,48,2,-47,42,-6,5,-2,-21,-20
-36,-48,-50,45,18,-49,45,2,9,-2,-27,-24
-47,-44,-34,47,-13,-42,51,5,15,-1,-29,-31
-52,-41,-23,47,-32,-35,55,11,22,3,-30,-35
-35,-36,-31,37,-3,-35,58,23,35,12,-25,-36
-21,-38,-46,33,30,-42,61,34,51,26,-16,-28
-14,-26,-31,23,20,-28,67,54,79,47,-2,-18
7,-10,-24,4,35,-15,75,73,110,73,17,-6
18,8,-4,-11,25,4,82,87,139,99,36,8
41,46,43,-44,-3,46,85,103,177,136,73,43
75,95,99,-89,-30,99,84,112,211,180,118,83
112,143,148,-135,-45,149,85,108,230,219,164,132
166,188,177,-184,-20,189,77,88,234,256,217,190
231,240,207,-242,18,234,55,58,230,300,279,257
287,273,212,-284,77,258,26,13,209,327,324,309
351,314,224,-334,135,289,1,-25,191,356,366,359
377,336,237,-359,148,309,-29,-61,179,380,403,403
386,357,266,-376,125,333,-69,-115,142,374,408,417
396,379,297,-394,100,359,-114,-171,85,342,396,422
376,385,327,-391,43,374,-147,-211,29,302,376,418
334,356,315,-357,10,350,-169,-231,-19,249,340,397
307,349,329,-342,-37,351,-205,-273,-87,176,292,372
266,294,270,-291,-15,293,-224,-293,-153,93,230,326
196,246,252,-234,-72,255,-230,-297,-201,27,171,275
131,196,225,-177,-115,212,-224,-305,-249,-42,111,225
79,158,207,-133,-152,181,-206,-288,-256,-78,65,180
72,122,150,-106,-93,136,-193,-259,-236,-85,41,148
70,79,75,-77,-8,80,-172,-227,-216,-90,17,114
53,58,54,-57,-2,58,-146,-199,-200,-94,-5,80
31,41,44,-38,-17,44,-120,-175,-179,-92,-20,56
4,20,32,-13,-33,25,-93,-150,-153,-85,-30,35
-11,22,50,-10,-70,33,-73,-133,-134,-79,-36,18
-32,20,68,-1,-115,38,-60,-121,-118,-73,-43,4
-43,10,61,9,-118,29,-46,-107,-103,-67,-47,-6
-37,-2,34,15,-82,12,-34,-94,-89,-60,-48,-14
-41,-12,19,23,-68,-1,-19,-79,-73,-50,-43,-13
-55,-14,29,30,-97,1,-8,-69,-61,-44,-40,-15
-49,-25,4,35,-60,-15,2,-59,-51,-37,-37,-14
-47,-27,-1,36,-52,-18,8,-51,-45,-31,-35,-16
-41,-33,-19,37,-23,-29,15,-44,-38,-27,-32,-15
-49,-36,-16,42,-37,-29,22,-37,-31,-23,-29,-15
-28,-31,-28,31,0,-30,24,-34,-30,-22,-29,-18
-33,-37,-34,37,2,-37,27,-30,-25,-19,-28,-13
-32,-40,-41,39,12,-42,29,-28,-22,-17,-29,-14
-41,-46,-41,46,0,-45,31,-26,-20,-18,-30,-17
-33,-43,-44,42,13,-45,29,-28,-22,-19,-34,-22
-41,-44,-37,45,-3,-42,31,-25,-19,-17,-33,-24
-38,-42,-37,42,0,-41,31,-26,-20,-17,-35,-25
-36,-54,-61,49,30,-57,33,-23,-17,-15,-30,-22
-37,-52,-57,49,25,-55,36,-21,-17,-13,-29,-23
-39,-52,-55,50,20,-55,36,-21,-16,-13,-29,-21
-34,-46,-48,43,17,-47,36,-20,-17,-13,-30,-24
-33,-51,-59,47,30,-55,37,-20,-16,-13,-27,-20
-39,-54,-59,51,23,-57,36,-19,-16,-13,-31,-20
-32,-46,-52,43,23,-49,36,-20,-16,-14,-32,-24
-33,-47,-52,44,22,-50,36,-21,-16,-14,-33,-24
-45,-50,-46,51,2,-50,37,-19,-14,-13,-32,-25
-40,-52,-53,50,17,-53,36,-19,-14,-13,-33,-24
-38,-50,-53,48,18,-53,37,-19,-15,-13,-32,-26
-41,-56,-60,53,23,-59,37,-18,-14,-12,-31,-23
-47,-56,-55,55,12,-57,39,-18,-14,-12,-31,-23
-42,-49,-46,48,7,-49,37,-17,-14,-14,-32,-27
-40,-46,-42,45,3,-45,36,-18,-15,-14,-32,-27
-37,-46,-46,45,12,-47,37,-17,-14,-13,-31,-26
-30,-55,-69,48,47,-62,39,-15,-12,-11,-29,-21
-36,-48,-52,46,20,-50,40,-15,-11,-12,-30,-25
-36,-53,-60,49,30,-57,40,-15,-11,-10,-31,-24
-34,-54,-64,49,35,-59,40,-15,-11,-11,-30,-23
-41,-60,-66,55,30,-63,41,-15,-11,-11,-31,-24
-41,-56,-60,53,23,-59,38,-15,-14,-15,-33,-27
-43,-50,-48,50,7,-50,37,-14,-14,-15,-33,-26
-36,-46,-46,44,12,-47,37,-16,-16,-16,-33,-26
-34,-58,-71,52,43,-64,40,-13,-14,-13,-29,-23
-34,-62,-77,54,50,-68,41,-12,-12,-12,-30,-24
-28,-52,-66,46,45,-58,41,-12,-12,-12,-31,-25
-24,-52,-69,44,53,-60,42,-13,-13,-11,-31,-24
-47,-58,-59,56,15,-60,43,-12,-10,-10,-31,-23
-41,-50,-49,49,10,-51,41,-14,-13,-12,-35,-27
-38,-51,-54,48,18,-53,41,-15,-14,-12,-35,-26
-44,-50,-46,50,3,-49,41,-14,-14,-13,-33,-26
-41,-48,-46,47,8,-49,41,-14,-14,-12,-32,-24
-39,-52,-55,50,20,-55,43,-13,-13,-12,-31,-24
-43,-62,-69,58,32,-66,43,-11,-11,-10,-27,-18
-38,-63,-75,56,43,-69,45,-11,-13,-10,-28,-20
-37,-56,-64,52,33,-60,44,-13,-14,-11,-30,-23
-40,-56,-60,52,25,-58,43,-13,-13,-10,-30,-21
-41,-59,-66,55,30,-63,43,-13,-13,-11,-30,-24
-44,-59,-62,56,22,-62,42,-13,-14,-9,-31,-24
-41,-60,-68,55,33,-65,42,-12,-13,-10,-30,-26
-45,-56,-57,54,15,-58,42,-12,-15,-11,-33,-27
-48,-60,-61,58,17,-62,42,-12,-14,-9,-32,-26
-38,-56,-62,51,30,-59,43,-11,-13,-9,-32,-26
-43,-60,-66,56,28,-64,44,-10,-13,-9,-30,-26
-47,-54,-52,54,7,-55,43,-11,-14,-11,-30,-27
-36,-50,-54,46,22,-52,41,-11,-15,-11,-30,-27
-37,-53,-59,50,27,-56,43,-10,-14,-10,-30,-28
-41,-47,-44,47,5,-47,43,-11,-14,-12,-31,-30
-37,-50,-54,47,20,-53,42,-12,-14,-10,-31,-30
-30,-62,-80,53,58,-70,44,-9,-13,-9,-29,-27
-35,-63,-79,55,52,-70,45,-9,-13,-10,-30,-27
-37,-60,-72,54,42,-66,44,-10,-13,-10,-31,-26
-33,-58,-72,52,45,-65,42,-9,-15,-10,-31,-27
-41,-58,-64,54,27,-62,43,-10,-14,-10,-30,-27
-39,-64,-77,58,45,-70,43,-8,-14,-11,-28,-25
-33,-53,-62,48,35,-58,42,-8,-15,-12,-31,-27
-34,-52,-59,47,30,-55,42,-9,-15,-13,-31,-29
-34,-50,-57,46,27,-54,42,-9,-15,-14,-33,-31
-32,-48,-55,44,28,-52,43,-8,-15,-15,-34,-30
-21,-48,-66,40,53,-56,43,-7,-13,-12,-31,-25
-31,-55,-68,48,43,-61,44,-7,-13,-11,-31,-24
-28,-50,-62,44,40,-56,41,-7,-15,-13,-31,-24
-24,-49,-64,42,48,-56,42,-6,-14,-12,-30,-22
-36,-52,-59,48,28,-56,42,-5,-14,-11,-29,-19
-33,-54,-64,49,37,-59,42,-4,-12,-11,-29,-22
-28,-43,-49,39,25,-46,42,-5,-13,-11,-31,-22
-32,-46,-52,43,23,-49,42,-5,-12,-12,-31,-23
-33,-47,-52,44,22,-50,43,-3,-10,-11,-29,-23
-22,-52,-72,44,58,-60,43,-3,-11,-10,-29,-19
-22,-54,-75,45,62,-63,44,-2,-9,-9,-28,-20
-23,-52,-71,44,57,-60,42,-3,-11,-9,-29,-20
-27,-56,-73,47,55,-63,39,-3,-12,-11,-30,-21
-16,-48,-71,38,65,-58,40,-3,-12,-10,-29,-20
-22,-51,-69,43,55,-59,40,-0,-10,-9,-26,-17
-15,-47,-69,37,63,-56,40,-2,-12,-10,-27,-20
-21,-40,-52,35,37,-45,39,-1,-12,-11,-29,-20
-13,-40,-59,32,53,-48,40,1,-10,-10,-26,-18
-4,-34,-57,25,60,-43,37,-1,-11,-11,-28,-18
-8,-36,-57,28,57,-45,38,0,-9,-9,-26,-15
-2,-34,-59,24,65,-44,38,0,-10,-8,-22,-14
-11,-41,-62,32,60,-50,38,1,-8,-6,-19,-14
-11,-49,-77,37,77,-60,38,2,-8,-4,-13,-10
-6,-43,-71,31,75,-54,38,2,-8,-3,-12,-9
-2,-44,-77,31,87,-57,38,5,-7,-2,-6,-4
4,-40,-75,26,92,-54,37,6,-7,-2,-7,-2
9,-40,-80,24,103,-56,37,5,-7,-1,-8,-1
7,-34,-67,21,85,-47,37,7,-5,0,-5,0
1,-30,-55,20,65,-40,35,6,-6,1,-5,0
9,-30,-61,17,80,-42,35,6,-6,3,-3,3
18,-27,-64,12,95,-41,33,6,-6,4,-3,2
9,-22,-48,12,65,-32,33,4,-5,4,-0,5
7,-22,-44,13,58,-30,30,4,-5,6,4,9
12,-25,-55,13,77,-36,31,6,-5,7,5,11
21,-21,-57,7,90,-34,31,6,-4,9,9,14
14,-22,-52,10,75,-33,31,8,-3,11,12,17
29,-10,-44,-3,83,-22,30,6,-6,10,12,19
40,-9,-54,-7,107,-25,29,8,-3,12,15,21
37,-8,-50,-7,100,-24,29,7,-5,11,16,22
27,-6,-37,-5,73,-17,27,6,-5,13,16,21
33,-4,-37,-9,80,-16,25,5,-5,13,16,21
29,-2,-30,-9,67,-12,24,4,-7,13,16,24
