I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
15,-30,-48,10,36,-47,26,18,13,9,-33,-46
15,-33,-51,11,37,-50,25,18,13,7,-33,-46
15,-36,-55,13,39,-55,23,18,13,6,-33,-46
15,-38,-57,14,41,-57,23,18,12,5,-33,-46
15,-39,-58,14,41,-58,22,18,11,5,-33,-46
15,-39,-58,15,41,-59,22,18,10,4,-33,-46
15,-39,-58,15,41,-59,22,18,9,4,-33,-46
15,-39,-58,15,41,-59,22,18,8,4,-33,-46
15,-39,-58,15,41,-59,22,18,8,4,-33,-46
15,-39,-58,15,41,-59,22,18,8,4,-33,-46
15,-39,-58,15,41,-59,22,18,8,4,-33,-46
14,-39,-58,15,41,-58,21,18,8,4,-33,-46
11,-39,-55,16,37,-56,20,18,8,4,-33,-46
9,-39,-52,18,34,-55,19,18,8,4,-33,-46
5,-39,-48,20,30,-53,17,18,8,4,-33,-46
3,-39,-46,21,28,-51,17,18,8,4,-33,-46
2,-39,-45,22,27,-51,16,18,8,4,-33,-46
1,-39,-45,22,26,-50,16,18,8,4,-33,-46
1,-39,-45,22,26,-50,16,18,8,4,-33,-46
3,-39,-46,21,28,-51,16,18,8,4,-33,-46
6,-39,-49,19,31,-53,16,17,8,3,-33,-46
9,-39,-52,18,34,-55,16,16,8,2,-33,-46
12,-39,-55,16,38,-57,16,15,8,0,-33,-46
14,-39,-58,15,41,-58,16,15,8,-1,-33,-46
15,-39,-58,15,41,-59,16,14,8,-1,-33,-46
15,-39,-58,15,41,-59,16,14,8,-1,-33,-46
15,-39,-58,15,41,-59,16,14,8,-1,-33,-46
14,-39,-58,15,41,-58,16,15,8,-1,-33,-46
11,-39,-55,16,37,-56,16,15,8,-1,-33,-46
9,-39,-52,18,34,-55,16,16,8,-1,-33,-46
5,-39,-48,20,30,-53,16,17,8,-1,-33,-46
3,-39,-46,21,28,-51,16,18,8,-1,-33,-46
2,-39,-45,22,27,-51,16,18,8,-1,-33,-46
1,-39,-45,22,26,-50,16,18,8,-1,-33,-46
1,-39,-45,22,26,-50,16,18,8,-1,-33,-46
1,-39,-45,22,26,-50,16,18,8,-1,-33,-46
1,-39,-45,22,26,-50,16,18,8,-1,-33,-46
1,-39,-45,22,26,-50,16,18,8,-1,-33,-46
1,-39,-45,22,26,-50,16,18,8,-1,-33,-46
1,-39,-45,22,26,-50,16,18,8,-2,-33,-46
1,-39,-45,22,26,-50,16,17,7,-3,-33,-46
1,-39,-45,22,26,-50,16,16,6,-4,-33,-46
1,-39,-45,22,26,-50,16,15,5,-6,-33,-46
1,-39,-45,22,26,-50,16,15,4,-6,-33,-46
1,-39,-45,22,26,-50,16,14,4,-7,-33,-46
1,-39,-45,22,26,-50,16,14,3,-7,-33,-46
1,-39,-45,22,26,-50,16,14,3,-7,-33,-46
0,-39,-43,22,24,-49,16,14,3,-7,-33,-46
-3,-39,-40,24,21,-48,16,14,3,-7,-33,-46
-6,-39,-37,25,18,-46,16,14,3,-7,-33,-46
-9,-39,-34,28,14,-44,16,14,3,-7,-33,-46
-13,-41,-31,30,11,-43,16,14,3,-7,-34,-46
-16,-43,-31,34,8,-45,16,14,1,-7,-35,-46
-19,-45,-31,36,7,-46,16,14,-0,-7,-36,-46
-19,-46,-31,37,7,-47,16,14,-1,-7,-36,-46
-20,-46,-30,37,6,-46,16,14,-1,-7,-36,-46
-20,-46,-30,37,6,-46,16,14,-1,-7,-36,-46
-20,-46,-30,37,6,-46,16,14,-1,-7,-36,-46
-20,-46,-30,37,6,-46,16,14,-1,-7,-36,-46
-13,-43,-34,31,11,-46,17,16,-1,-6,-34,-45
-4,-38,-38,24,20,-46,20,18,-1,-4,-30,-44
0,-37,-40,21,23,-46,20,18,-1,-3,-29,-43
1,-36,-40,20,23,-46,20,18,-1,-3,-28,-43
4,-35,-42,18,25,-46,20,18,-1,-3,-28,-44
7,-33,-44,16,28,-46,19,18,-1,-3,-28,-45
8,-31,-42,13,28,-43,20,19,-0,-2,-28,-44
7,-25,-35,11,24,-36,21,19,1,0,-27,-41
6,-20,-28,9,19,-28,23,20,2,1,-26,-40
4,-14,-20,6,14,-20,25,21,3,3,-24,-38
2,-7,-10,4,7,-10,27,22,5,4,-20,-36
4,-3,-8,0,7,-6,28,23,6,4,-17,-36
7,-2,-9,-2,10,-6,28,24,7,4,-15,-37
8,-3,-11,-2,11,-8,29,25,7,5,-14,-36
12,-4,-17,-4,16,-12,29,26,8,6,-14,-35
16,-7,-25,-4,24,-19,28,26,8,6,-14,-35
19,-11,-31,-4,28,-25,28,27,8,6,-14,-34
25,-12,-39,-6,36,-30,26,28,8,7,-13,-33
33,-13,-47,-10,46,-35,23,28,7,7,-12,-32
41,-11,-55,-15,54,-38,21,29,7,8,-12,-32
48,-9,-58,-19,60,-39,19,28,8,9,-12,-30
49,-8,-58,-20,60,-38,17,26,8,9,-11,-28
46,-9,-57,-19,59,-38,17,24,8,9,-11,-25
44,-9,-55,-17,56,-37,15,22,8,9,-10,-20
44,-9,-55,-17,55,-37,13,20,8,8,-10,-19
44,-9,-55,-17,55,-37,12,19,7,6,-10,-19
41,-9,-53,-16,53,-36,12,19,7,4,-11,-19
38,-11,-50,-13,50,-36,13,18,7,3,-12,-19
36,-14,-52,-10,50,-38,13,18,6,2,-12,-20
33,-19,-54,-6,49,-43,14,18,5,1,-13,-21
31,-23,-56,-3,49,-47,14,18,5,1,-12,-21
29,-26,-58,0,49,-49,13,17,3,-1,-11,-23
26,-31,-61,4,49,-55,11,16,1,-4,-12,-25
26,-35,-65,7,51,-60,10,15,0,-5,-13,-25
26,-40,-70,10,54,-66,9,15,-0,-6,-14,-27
24,-45,-74,13,55,-72,9,14,-2,-8,-15,-29
23,-47,-74,15,54,-72,10,14,-4,-9,-17,-30
22,-44,-71,13,52,-69,10,14,-4,-10,-18,-30
21,-40,-65,12,48,-63,10,13,-4,-10,-18,-30
19,-35,-58,10,44,-56,11,13,-4,-10,-18,-30
19,-31,-53,8,41,-50,11,13,-4,-10,-18,-30
16,-31,-51,10,38,-49,11,12,-5,-11,-18,-32
14,-32,-49,11,35,-49,11,11,-6,-12,-19,-34
9,-33,-45,14,31,-47,11,11,-6,-12,-21,-34
3,-34,-40,18,24,-44,11,11,-6,-12,-21,-35
-3,-37,-37,22,20,-44,12,10,-7,-13,-22,-36
-9,-39,-33,27,13,-43,14,11,-7,-13,-23,-37
-14,-39,-28,30,8,-41,15,11,-7,-13,-24,-38
-16,-41,-28,31,7,-42,15,11,-7,-13,-25,-39
-17,-42,-28,33,7,-43,16,11,-8,-14,-25,-39
-19,-43,-28,35,5,-43,17,11,-8,-14,-25,-39
-20,-46,-30,37,6,-46,16,10,-9,-15,-25,-40
-20,-48,-32,38,7,-49,16,9,-10,-18,-26,-41
-20,-49,-33,38,7,-49,17,8,-10,-18,-29,-41
