I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-19, 78, 97, -29, -58, 87, 87, 87, 185, 136, 87, 48, 
-19, 78, 97, -29, -58, 87, 87, 87, 185, 136, 87, 48, 
-19, 78, 97, -29, -58, 87, 87, 87, 185, 136, 87, 48, 
-19, 78, 97, -29, -58, 87, 87, 87, 185, 136, 87, 48, 
-19, 63, 82, -21, -51, 73, 73, 63, 165, 122, 68, 34, 
-19, 58, 78, -19, -48, 68, 68, 48, 146, 107, 58, 29, 
-19, 53, 73, -17, -46, 63, 63, 34, 126, 92, 48, 24, 
-19, 48, 68, -14, -43, 58, 58, 19, 107, 78, 39, 19, 
-19, 43, 63, -12, -41, 53, 48, 9, 92, 68, 34, 9, 
-19, 39, 58, -9, -39, 48, 48, 0, 78, 58, 29, 9, 
-19, 34, 53, -7, -36, 43, 48, -9, 63, 48, 24, 9, 
-19, 29, 48, -4, -34, 39, 48, -19, 48, 39, 19, 9, 
-19, 24, 43, -2, -31, 34, 43, -29, 39, 24, 4, 4, 
-19, 19, 39, 0, -29, 29, 39, -39, 29, 19, 0, 0, 
-19, 14, 34, 2, -26, 24, 34, -48, 19, 14, -4, -4, 
-19, 9, 29, 4, -24, 19, 29, -58, 9, 9, -9, -9, 
-29, 0, 29, 14, -29, 14, 19, -68, -4, 4, -14, -14, 
-29, 0, 29, 14, -29, 14, 19, -68, -9, 0, -19, -19, 
-29, 0, 29, 14, -29, 14, 19, -68, -14, -4, -24, -24, 
-29, 0, 29, 14, -29, 14, 19, -68, -19, -9, -29, -29, 
-39, -4, 34, 21, -36, 14, 19, -73, -34, -24, -34, -29, 
-39, -9, 29, 24, -34, 9, 19, -78, -39, -29, -39, -29, 
-39, -14, 24, 26, -31, 4, 19, -82, -43, -34, -43, -29, 
-39, -19, 19, 29, -29, 0, 19, -87, -48, -39, -48, -29, 
-29, -19, 9, 24, -19, -4, 9, -92, -58, -48, -58, -39, 
-29, -19, 9, 24, -19, -4, 9, -97, -58, -48, -58, -39, 
-29, -19, 9, 24, -19, -4, 9, -102, -58, -48, -58, -39, 
-29, -19, 9, 24, -19, -4, 9, -107, -58, -48, -58, -39, 
-34, -19, 14, 26, -24, -2, 9, -117, -63, -58, -68, -48, 
-39, -19, 19, 29, -29, 0, 9, -117, -68, -58, -68, -48, 
-43, -19, 24, 31, -34, 2, 9, -117, -73, -58, -68, -48, 
-48, -19, 29, 34, -39, 4, 9, -117, -78, -58, -68, -48, 
-48, -29, 19, 39, -34, -4, 14, -117, -87, -68, -73, -48, 
-48, -29, 19, 39, -34, -4, 19, -117, -87, -68, -78, -48, 
-48, -29, 19, 39, -34, -4, 24, -117, -87, -68, -82, -48, 
-48, -29, 19, 39, -34, -4, 29, -117, -87, -68, -87, -48, 
-48, -29, 19, 39, -34, -4, 19, -126, -97, -78, -87, -58, 
-48, -29, 19, 39, -34, -4, 19, -126, -97, -78, -87, -58, 
-48, -29, 19, 39, -34, -4, 19, -126, -97, -78, -87, -58, 
-48, -29, 19, 39, -34, -4, 19, -126, -97, -78, -87, -58, 
-48, -39, 9, 43, -29, -14, 9, -126, -97, -87, -87, -68, 
-48, -39, 9, 43, -29, -14, 9, -126, -97, -87, -87, -68, 
-48, -39, 9, 43, -29, -14, 9, -126, -97, -87, -87, -68, 
-48, -39, 9, 43, -29, -14, 9, -126, -97, -87, -87, -68, 
-48, -48, 0, 48, -24, -24, 19, -136, -97, -87, -97, -68, 
-48, -48, 0, 48, -24, -24, 19, -136, -97, -87, -97, -68, 
-48, -48, 0, 48, -24, -24, 19, -136, -97, -87, -97, -68, 
-48, -48, 0, 48, -24, -24, 19, -136, -97, -87, -97, -68, 
-48, -39, 9, 43, -29, -14, 9, -126, -97, -87, -97, -68, 
-48, -39, 9, 43, -29, -14, 9, -126, -97, -87, -97, -68, 
-48, -39, 9, 43, -29, -14, 9, -126, -97, -87, -97, -68, 
-48, -39, 9, 43, -29, -14, 9, -126, -97, -87, -97, -68, 
-48, -39, 9, 43, -29, -14, 19, -136, -97, -87, -97, -68, 
-48, -39, 9, 43, -29, -14, 19, -136, -97, -87, -97, -68, 
-48, -39, 9, 43, -29, -14, 19, -136, -97, -87, -97, -68, 
-48, -39, 9, 43, -29, -14, 19, -136, -97, -87, -97, -68, 
-58, -39, 19, 48, -39, -9, 29, -136, -97, -87, -107, -78, 
-58, -39, 19, 48, -39, -9, 29, -136, -97, -87, -107, -78, 
-58, -39, 19, 48, -39, -9, 29, -136, -97, -87, -107, -78, 
-58, -39, 19, 48, -39, -9, 29, -136, -97, -87, -107, -78, 
-68, -48, 19, 58, -43, -14, 29, -136, -97, -87, -107, -78, 
-68, -48, 19, 58, -43, -14, 29, -136, -97, -87, -107, -78, 
-68, -48, 19, 58, -43, -14, 29, -136, -97, -87, -107, -78, 
-68, -48, 19, 58, -43, -14, 29, -136, -97, -87, -107, -78, 
