I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
0, 429, 429, -214, -214, 429, -19, -390, 527, 956, 517, 117, 
0, 775, 775, -387, -387, 775, -414, -1034, 492, 1146, 800, 453, 
0, 1122, 1122, -561, -561, 1122, -810, -1678, 458, 1337, 1083, 790, 
19, 1112, 1093, -566, -536, 1102, -1098, -1776, 185, 1244, 1141, 956, 
39, 1102, 1063, -570, -512, 1083, -1385, -1873, -87, 1151, 1200, 1122, 
39, 678, 639, -358, -300, 658, -1107, -1415, -336, 707, 868, 922, 
39, 253, 214, -146, -87, 234, -829, -956, -585, 263, 536, 722, 
39, 9, -29, -24, 34, -9, -585, -541, -561, 126, 292, 390, 
39, -234, -273, 97, 156, -253, -341, -126, -536, -9, 48, 58, 
58, -283, -341, 112, 200, -312, -239, 39, -448, 19, -4, -34, 
78, -331, -409, 126, 244, -370, -136, 204, -361, 48, -58, -126, 
68, -297, -366, 114, 217, -331, -87, 224, -312, 92, -34, -126, 
58, -263, -322, 102, 190, -292, -39, 244, -263, 136, -9, -126, 
48, -219, -268, 85, 158, -244, -34, 204, -214, 170, 24, -102, 
39, -175, -214, 68, 126, -195, -29, 165, -165, 204, 58, -78, 
29, -146, -175, 58, 102, -161, -9, 146, -126, 234, 78, -68, 
19, -117, -136, 48, 78, -126, 9, 126, -87, 263, 97, -58, 
14, -87, -102, 36, 58, -95, 19, 126, -68, 287, 117, -43, 
9, -58, -68, 24, 39, -63, 29, 126, -48, 312, 136, -29, 
4, -58, -63, 26, 34, -61, 34, 126, -39, 317, 141, -29, 
0, -58, -58, 29, 29, -58, 39, 126, -29, 322, 146, -29, 
0, -53, -53, 26, 26, -53, 39, 126, -24, 326, 151, -24, 
0, -48, -48, 24, 24, -48, 39, 126, -19, 331, 156, -19, 
0, -48, -48, 24, 24, -48, 43, 126, -14, 336, 161, -19, 
0, -48, -48, 24, 24, -48, 48, 126, -9, 341, 165, -19, 
0, -43, -43, 21, 21, -43, 48, 126, -4, 346, 170, -19, 
0, -39, -39, 19, 19, -39, 48, 126, 0, 351, 175, -19, 
0, -34, -34, 17, 17, -34, 48, 126, 0, 356, 175, -14, 
0, -29, -29, 14, 14, -29, 48, 126, 0, 361, 175, -9, 
0, -29, -29, 14, 14, -29, 48, 131, 0, 366, 180, -9, 
0, -29, -29, 14, 14, -29, 48, 136, 0, 370, 185, -9, 
0, -29, -29, 14, 14, -29, 48, 136, 0, 370, 185, -9, 
0, -29, -29, 14, 14, -29, 48, 136, 0, 370, 185, -9, 
0, -24, -24, 12, 12, -24, 48, 141, 4, 375, 185, -9, 
0, -19, -19, 9, 9, -19, 48, 146, 9, 380, 185, -9, 
0, -19, -19, 9, 9, -19, 48, 146, 9, 380, 190, -9, 
0, -19, -19, 9, 9, -19, 48, 146, 9, 380, 195, -9, 
0, -19, -19, 9, 9, -19, 53, 151, 14, 385, 195, -14, 
0, -19, -19, 9, 9, -19, 58, 156, 19, 390, 195, -19, 
0, -19, -19, 9, 9, -19, 58, 165, 19, 390, 195, -19, 
0, -19, -19, 9, 9, -19, 58, 175, 19, 390, 195, -19, 
0, -14, -14, 7, 7, -14, 58, 180, 24, 395, 200, -19, 
0, -9, -9, 4, 4, -9, 58, 185, 29, 400, 204, -19, 
0, -9, -9, 4, 4, -9, 58, 190, 29, 405, 209, -14, 
0, -9, -9, 4, 4, -9, 58, 195, 29, 409, 214, -9, 
4, -9, -14, 2, 9, -12, 58, 204, 34, 409, 214, -9, 
9, -9, -19, 0, 14, -14, 58, 214, 39, 409, 214, -9, 
9, -9, -19, 0, 14, -14, 58, 224, 39, 409, 214, -9, 
9, -9, -19, 0, 14, -14, 58, 234, 39, 409, 214, -9, 
9, -4, -14, -2, 12, -9, 58, 244, 43, 414, 219, -9, 
9, 0, -9, -4, 9, -4, 58, 253, 48, 419, 224, -9, 
14, 0, -14, -7, 14, -7, 63, 268, 53, 419, 224, -9, 
19, 0, -19, -9, 19, -9, 68, 283, 58, 419, 224, -9, 
24, 0, -24, -12, 24, -12, 68, 297, 68, 424, 224, -9, 
29, 0, -29, -14, 29, -14, 68, 312, 78, 429, 224, -9, 
29, 4, -24, -17, 26, -9, 68, 331, 82, 434, 224, -9, 
29, 9, -19, -19, 24, -4, 68, 351, 87, 439, 224, -9, 
29, 14, -14, -21, 21, 0, 73, 366, 97, 448, 229, -9, 
29, 19, -9, -24, 19, 4, 78, 380, 107, 458, 234, -9, 
34, 24, -9, -29, 21, 7, 78, 400, 112, 463, 239, -4, 
39, 29, -9, -34, 24, 9, 78, 419, 117, 468, 244, 0, 
43, 34, -9, -39, 26, 12, 78, 439, 122, 473, 248, 0, 
48, 39, -9, -43, 29, 14, 78, 458, 126, 478, 253, 0, 
53, 48, -4, -51, 29, 21, 78, 473, 136, 488, 258, 0, 
58, 58, 0, -58, 29, 29, 78, 488, 146, 497, 263, 0, 
68, 63, -4, -65, 36, 29, 78, 502, 151, 502, 263, 4, 
78, 68, -9, -73, 43, 29, 78, 517, 156, 507, 263, 9, 
82, 68, -14, -75, 48, 26, 73, 527, 156, 507, 268, 14, 
87, 68, -19, -78, 53, 24, 68, 536, 156, 507, 273, 19, 
97, 68, -29, -82, 63, 19, 63, 546, 151, 502, 273, 24, 
107, 68, -39, -87, 73, 14, 58, 556, 146, 497, 273, 29, 
112, 63, -48, -87, 80, 7, 53, 556, 126, 488, 268, 34, 
117, 58, -58, -87, 87, 0, 48, 556, 107, 478, 263, 39, 
122, 43, -78, -82, 100, -17, 39, 536, 63, 453, 258, 39, 
126, 29, -97, -78, 112, -34, 29, 517, 19, 429, 253, 39, 
131, 4, -126, -68, 129, -61, 9, 483, -24, 400, 248, 43, 
136, -19, -156, -58, 146, -87, -9, 448, -68, 370, 244, 48, 
136, -34, -170, -51, 153, -102, -29, 405, -122, 336, 229, 48, 
136, -48, -185, -43, 161, -117, -48, 361, -175, 302, 214, 48, 
136, -73, -209, -31, 173, -141, -68, 317, -219, 268, 204, 43, 
