I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-126, -78, 48, 102, -87, -14, 156, 234, 165, -29, -117, -156, 
-131, -78, 53, 104, -92, -12, 161, 244, 175, -24, -117, -156, 
-136, -78, 58, 107, -97, -9, 165, 253, 185, -19, -117, -156, 
-136, -78, 58, 107, -97, -9, 165, 258, 200, -9, -117, -156, 
-136, -78, 58, 107, -97, -9, 165, 263, 214, 0, -117, -156, 
-141, -73, 68, 107, -104, -2, 165, 273, 229, 4, -117, -161, 
-146, -68, 78, 107, -112, 4, 165, 283, 244, 9, -117, -165, 
-146, -68, 78, 107, -112, 4, 165, 292, 258, 19, -112, -165, 
-146, -68, 78, 107, -112, 4, 165, 302, 273, 29, -107, -165, 
-146, -63, 82, 104, -114, 9, 170, 317, 292, 39, -107, -165, 
-146, -58, 87, 102, -117, 14, 175, 331, 312, 48, -107, -165, 
-146, -58, 87, 102, -117, 14, 175, 341, 322, 53, -107, -170, 
-146, -58, 87, 102, -117, 14, 175, 351, 331, 58, -107, -175, 
-146, -53, 92, 100, -119, 19, 185, 361, 356, 78, -97, -175, 
-146, -48, 97, 97, -122, 24, 195, 370, 380, 97, -87, -175, 
-146, -39, 107, 92, -126, 34, 195, 380, 400, 112, -82, -175, 
-146, -29, 117, 87, -131, 43, 195, 390, 419, 126, -78, -175, 
-141, -19, 122, 80, -131, 51, 190, 400, 444, 141, -68, -170, 
-136, -9, 126, 73, -131, 58, 185, 409, 468, 156, -58, -165, 
-126, -4, 122, 65, -124, 58, 185, 419, 483, 175, -43, -161, 
-117, 0, 117, 58, -117, 58, 185, 429, 497, 195, -29, -156, 
-112, 4, 117, 53, -114, 61, 185, 434, 512, 204, -24, -151, 
-107, 9, 117, 48, -112, 63, 185, 439, 527, 214, -19, -146, 
-102, 9, 112, 46, -107, 61, 185, 439, 536, 234, -9, -141, 
-97, 9, 107, 43, -102, 58, 185, 439, 546, 253, 0, -136, 
-78, 9, 87, 34, -82, 48, 175, 439, 546, 263, 9, -122, 
-58, 9, 68, 24, -63, 39, 165, 439, 546, 273, 19, -107, 
-53, 9, 63, 21, -58, 36, 161, 439, 546, 292, 39, -92, 
-48, 9, 58, 19, -53, 34, 156, 439, 546, 312, 58, -78, 
-39, 19, 58, 9, -48, 39, 146, 429, 546, 317, 73, -63, 
-29, 29, 58, 0, -43, 43, 136, 419, 546, 322, 87, -48, 
-9, 29, 39, -9, -24, 34, 122, 400, 527, 322, 92, -39, 
9, 29, 19, -19, -4, 24, 107, 380, 507, 322, 97, -29, 
24, 34, 9, -29, 7, 21, 87, 356, 483, 322, 112, -4, 
39, 39, 0, -39, 19, 19, 68, 331, 458, 322, 126, 19, 
48, 48, 0, -48, 24, 24, 53, 307, 429, 312, 131, 34, 
58, 58, 0, -58, 29, 29, 39, 283, 400, 302, 136, 48, 
63, 63, 0, -63, 31, 31, 24, 248, 361, 283, 136, 63, 
68, 68, 0, -68, 34, 34, 9, 214, 322, 263, 136, 78, 
68, 68, 0, -68, 34, 34, 4, 190, 287, 244, 136, 87, 
68, 68, 0, -68, 34, 34, 0, 165, 253, 224, 136, 97, 
68, 68, 0, -68, 34, 34, -9, 136, 219, 200, 131, 97, 
68, 68, 0, -68, 34, 34, -19, 107, 185, 175, 126, 97, 
63, 63, 0, -63, 31, 31, -29, 82, 151, 151, 117, 97, 
58, 58, 0, -58, 29, 29, -39, 58, 117, 126, 107, 97, 
58, 53, -4, -56, 31, 24, -48, 43, 97, 112, 102, 92, 
58, 48, -9, -53, 34, 19, -58, 29, 78, 97, 97, 87, 
53, 48, -4, -51, 29, 21, -58, 14, 53, 82, 87, 87, 
48, 48, 0, -48, 24, 24, -58, 0, 29, 68, 78, 87, 
48, 43, -4, -46, 26, 19, -63, -9, 14, 58, 73, 82, 
48, 39, -9, -43, 29, 14, -68, -19, 0, 48, 68, 78, 
48, 39, -9, -43, 29, 14, -68, -24, -9, 34, 58, 73, 
48, 39, -9, -43, 29, 14, -68, -29, -19, 19, 48, 68, 
43, 34, -9, -39, 26, 12, -68, -34, -29, 4, 43, 63, 
39, 29, -9, -34, 24, 9, -68, -39, -39, -9, 39, 58, 
34, 24, -9, -29, 21, 7, -68, -39, -39, -14, 29, 53, 
29, 19, -9, -24, 19, 4, -68, -39, -39, -19, 19, 48, 
29, 19, -9, -24, 19, 4, -68, -39, -43, -19, 14, 43, 
29, 19, -9, -24, 19, 4, -68, -39, -48, -19, 9, 39, 
