I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
29, 39, 9, -34, 9, 24, -19, -29, -53, -29, -4, 4, 
34, 43, 9, -39, 12, 26, -19, -29, -53, -29, -4, 4, 
39, 48, 9, -43, 14, 29, -29, -29, -48, -24, 0, 14, 
43, 53, 9, -48, 17, 31, -34, -29, -43, -19, 0, 19, 
48, 63, 14, -56, 17, 39, -39, -24, -43, -14, 9, 24, 
48, 73, 24, -61, 12, 48, -43, -29, -43, -9, 14, 29, 
53, 82, 29, -68, 12, 56, -58, -34, -34, -9, 19, 29, 
58, 92, 34, -75, 12, 63, -58, -39, -34, -4, 24, 34, 
68, 92, 24, -80, 21, 58, -63, -43, -34, 0, 29, 48, 
73, 102, 29, -87, 21, 65, -73, -48, -34, 0, 34, 58, 
73, 107, 34, -90, 19, 70, -82, -53, -34, 4, 34, 58, 
73, 117, 43, -95, 14, 80, -92, -58, -29, 4, 39, 68, 
63, 126, 63, -95, 0, 95, -102, -63, -29, -4, 43, 63, 
68, 136, 68, -102, 0, 102, -107, -68, -29, 0, 43, 68, 
68, 136, 68, -102, 0, 102, -117, -78, -34, 0, 43, 73, 
68, 141, 73, -104, -2, 107, -126, -82, -39, 0, 48, 78, 
68, 136, 68, -102, 0, 102, -136, -92, -43, 0, 48, 78, 
68, 141, 73, -104, -2, 107, -136, -92, -43, 0, 53, 82, 
68, 146, 78, -107, -4, 112, -146, -102, -48, 0, 53, 87, 
68, 151, 82, -109, -7, 117, -151, -107, -53, 0, 58, 87, 
73, 151, 78, -112, -2, 114, -156, -112, -58, 0, 58, 87, 
73, 156, 82, -114, -4, 119, -161, -117, -58, 0, 58, 92, 
73, 161, 87, -117, -7, 124, -165, -122, -63, 0, 58, 92, 
78, 165, 87, -122, -4, 126, -170, -122, -68, 0, 58, 97, 
78, 165, 87, -122, -4, 126, -175, -122, -68, 0, 63, 97, 
78, 165, 87, -122, -4, 126, -175, -126, -68, 0, 63, 102, 
78, 165, 87, -122, -4, 126, -175, -126, -68, 0, 73, 102, 
78, 175, 97, -126, -9, 136, -175, -126, -68, 4, 73, 112, 
87, 185, 97, -136, -4, 141, -175, -126, -68, 4, 73, 112, 
87, 190, 102, -139, -7, 146, -175, -126, -73, 4, 73, 112, 
