I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-38,-13,21,34,-37,5,8,7,5,-3,-4,-12
-38,-13,22,34,-38,6,8,7,5,-3,-4,-12
-38,-12,22,34,-38,6,8,7,5,-3,-4,-12
-38,-12,22,34,-38,6,8,7,5,-3,-4,-12
-38,-12,22,34,-38,6,8,7,5,-3,-4,-12
-38,-12,22,34,-38,6,8,7,5,-3,-4,-12
-38,-12,22,34,-38,6,8,7,5,-3,-4,-12
-38,-12,22,34,-38,6,8,7,5,-3,-4,-12
-37,-12,21,33,-37,6,8,7,5,-3,-4,-12
-34,-12,19,31,-34,5,8,7,5,-3,-4,-12
-32,-12,17,30,-30,3,8,7,5,-3,-4,-12
-29,-12,14,27,-27,1,8,7,5,-3,-4,-12
-27,-12,12,26,-24,1,8,7,5,-3,-4,-12
-26,-12,12,26,-24,0,8,7,5,-3,-4,-12
-26,-12,11,26,-23,0,8,7,5,-3,-4,-12
-26,-12,11,26,-23,0,8,7,5,-3,-4,-12
-26,-12,11,26,-23,0,8,7,5,-3,-4,-12
-26,-12,11,26,-23,0,8,7,5,-3,-4,-12
-26,-12,11,26,-23,0,8,7,5,-3,-4,-12
-26,-12,11,26,-23,0,8,7,5,-3,-4,-12
-24,-12,10,25,-21,-1,8,7,4,-3,-4,-12
-22,-12,8,23,-18,-2,8,7,3,-3,-4,-12
-19,-12,6,22,-15,-3,8,7,1,-3,-4,-12
-16,-12,3,19,-11,-5,8,7,-0,-3,-4,-12
-14,-12,2,18,-9,-6,8,6,-1,-3,-4,-12
-14,-12,1,18,-8,-7,8,4,-2,-5,-4,-12
-13,-12,1,18,-8,-7,8,3,-2,-6,-4,-12
-13,-12,1,18,-8,-7,8,0,-2,-8,-4,-12
-13,-12,1,18,-8,-7,8,-1,-2,-9,-4,-12
-13,-12,1,18,-8,-7,8,-1,-2,-9,-4,-12
-13,-12,1,18,-8,-7,8,-2,-2,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-2,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-3,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-4,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-6,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-8,-10,-4,-12
-13,-13,-1,18,-7,-8,8,-2,-9,-10,-4,-12
-13,-15,-3,20,-5,-10,8,-2,-9,-10,-4,-12
-13,-18,-5,22,-4,-13,8,-2,-9,-10,-4,-12
-13,-21,-8,24,-2,-16,8,-2,-9,-10,-4,-12
-13,-22,-9,25,-1,-18,8,-2,-9,-10,-4,-12
-13,-23,-10,26,-1,-19,8,-2,-9,-10,-4,-12
-13,-24,-10,26,0,-20,8,-2,-9,-10,-4,-12
-13,-24,-10,26,0,-20,8,-2,-9,-10,-4,-12
-13,-22,-9,25,-1,-18,8,-2,-9,-10,-4,-12
-13,-20,-7,23,-2,-16,8,-2,-9,-10,-4,-12
-13,-18,-5,22,-4,-13,8,-2,-9,-10,-4,-12
-13,-15,-2,20,-6,-10,8,-2,-9,-10,-4,-12
-13,-13,-1,18,-7,-8,8,-2,-9,-10,-4,-12
-13,-13,0,18,-8,-7,8,-2,-9,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-9,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-9,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-9,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-9,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-9,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-9,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-9,-10,-4,-12
-13,-12,1,18,-8,-7,8,-2,-9,-10,-4,-12
-6,-9,-3,11,-1,-7,6,-0,-6,-6,-3,-11
4,-5,-8,2,8,-8,2,2,-3,-1,-0,-9
7,-4,-9,-1,11,-8,1,2,-1,0,0,-9
8,-3,-10,-2,12,-8,1,3,-1,1,1,-9
9,-2,-9,-3,12,-7,1,4,-0,1,1,-9
9,-1,-8,-4,11,-6,1,5,0,1,1,-10
10,0,-8,-6,12,-5,1,7,1,2,1,-11
11,2,-7,-8,12,-3,1,7,2,3,1,-10
11,5,-4,-10,11,0,0,7,3,3,2,-10
11,8,-2,-12,8,3,-1,7,4,4,3,-9
13,10,-1,-14,8,5,-1,6,5,5,3,-8
14,13,1,-18,8,8,-1,4,6,6,4,-7
14,15,2,-19,8,9,-1,3,8,6,5,-6
16,17,3,-21,8,10,-2,0,9,8,5,-6
17,19,4,-23,8,12,-3,-1,10,10,6,-5
18,22,6,-26,7,16,-3,-1,10,11,8,-4
18,24,8,-27,5,18,-4,-2,11,12,10,-4
18,25,9,-28,5,20,-5,-2,12,13,12,-3
18,27,11,-30,3,22,-6,-4,12,14,13,-3
19,28,11,-31,4,22,-8,-5,12,15,13,-3
20,30,11,-33,5,24,-10,-6,12,15,13,-2
21,30,11,-34,5,24,-11,-8,11,16,13,-1
22,30,10,-34,6,23,-13,-8,10,17,13,-1
23,30,9,-35,8,22,-16,-10,10,17,13,-1
24,30,9,-36,8,22,-17,-11,9,17,13,-1
25,30,8,-37,10,22,-19,-12,8,17,13,0
28,30,5,-38,13,20,-20,-13,6,17,13,0
29,30,4,-39,15,19,-22,-14,5,16,13,0
31,30,3,-40,17,18,-23,-15,3,15,13,1
33,30,1,-42,19,18,-25,-17,1,15,13,1
34,30,0,-42,21,17,-25,-17,-1,13,13,1
36,30,-2,-43,24,16,-26,-19,-2,12,12,1
38,30,-4,-45,26,14,-27,-19,-4,11,12,1
39,30,-4,-45,27,14,-28,-19,-6,10,12,1
40,30,-5,-46,28,14,-28,-19,-7,9,12,1
42,30,-7,-47,30,12,-28,-20,-8,8,11,1
43,30,-8,-47,31,12,-28,-21,-9,8,10,2
44,30,-9,-48,33,12,-28,-21,-11,7,10,3
45,30,-10,-49,34,11,-28,-21,-12,6,10,3
46,30,-10,-50,35,10,-28,-21,-13,6,10,3
46,30,-10,-50,35,10,-27,-21,-13,6,10,3
46,30,-10,-50,35,10,-26,-21,-14,6,10,3
46,30,-10,-50,35,10,-25,-21,-15,6,11,4
46,30,-10,-50,35,10,-25,-21,-15,6,11,4
46,30,-10,-50,35,10,-24,-21,-15,6,12,4
44,30,-9,-49,34,11,-23,-21,-15,6,12,4
42,29,-8,-46,31,11,-22,-21,-15,6,12,4
39,27,-8,-43,30,10,-21,-21,-15,6,11,4
36,25,-8,-39,27,9,-20,-21,-15,5,10,3
33,22,-8,-35,26,7,-18,-21,-15,4,10,2
29,19,-6,-30,22,7,-16,-20,-15,3,8,1
