I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-44,-5,41,33,-48,24,4,12,-12,-16,-23,-29
-42,-14,31,36,-41,13,0,10,-13,-16,-22,-29
-46,-22,28,42,-42,7,-1,8,-13,-16,-24,-32
-44,-13,34,37,-44,16,3,12,-13,-16,-23,-32
-34,-1,34,23,-39,22,5,14,-10,-14,-19,-28
-34,2,37,22,-40,26,9,18,-7,-10,-16,-24
-19,2,22,12,-23,16,7,15,-10,-14,-23,-31
-33,-10,26,28,-33,11,8,13,-12,-15,-24,-31
-33,-7,28,26,-35,15,8,12,-14,-17,-24,-33
-28,-10,21,25,-28,8,9,11,-14,-17,-26,-33
-37,-4,34,27,-40,21,8,13,-12,-15,-24,-31
-24,-2,23,17,-27,14,4,12,-11,-17,-26,-33
-43,-11,34,35,-44,17,9,16,-7,-14,-19,-30
-44,-4,42,32,-49,26,7,15,-9,-14,-20,-29
-37,1,38,25,-43,26,8,15,-10,-14,-19,-30
-23,6,28,13,-29,22,6,18,-11,-13,-21,-31
-34,-4,32,25,-37,19,3,12,-15,-16,-24,-38
-38,-11,29,31,-38,13,5,15,-12,-14,-24,-33
-37,-13,27,32,-36,11,7,17,-10,-11,-21,-35
-24,-5,21,19,-26,11,5,14,-9,-13,-23,-35
-34,-7,29,27,-36,16,7,20,-10,-13,-21,-32
-31,1,32,21,-35,22,5,16,-10,-13,-23,-35
-25,-2,24,18,-28,15,4,14,-11,-14,-26,-40
-42,-2,41,29,-47,26,6,15,-10,-14,-23,-39
-33,-1,33,23,-37,22,3,9,-12,-17,-26,-42
-46,-13,36,38,-46,17,6,13,-12,-15,-24,-39
-46,-5,42,33,-49,25,8,17,-12,-14,-24,-40
-41,-16,28,36,-39,10,2,9,-14,-17,-28,-44
-29,-14,18,27,-27,4,1,8,-16,-18,-32,-49
-33,-7,28,26,-35,15,4,9,-14,-16,-28,-49
-21,2,23,13,-24,17,7,13,-14,-16,-27,-47
-35,1,36,23,-40,24,9,16,-9,-12,-23,-41
-47,-4,44,33,-52,28,9,15,-9,-14,-20,-39
-42,-7,37,32,-44,21,9,14,-11,-14,-22,-42
-42,-8,36,33,-44,20,7,14,-10,-15,-23,-40
-42,-13,32,35,-41,14,7,15,-10,-14,-22,-40
-34,-8,28,27,-35,14,7,15,-14,-17,-22,-40
-34,-2,33,24,-38,21,7,15,-9,-14,-22,-38
-30,-2,29,21,-33,18,8,17,-11,-14,-21,-38
-42,-13,32,35,-41,14,9,15,-11,-14,-23,-42
-34,-10,27,29,-35,12,4,12,-12,-17,-26,-44
-32,1,33,21,-37,22,8,15,-10,-13,-22,-41
-23,-1,23,16,-26,15,8,16,-9,-16,-26,-46
-27,1,28,18,-31,19,6,16,-10,-17,-26,-47
-31,-4,28,23,-33,17,8,14,-10,-15,-27,-50
-31,-1,31,21,-35,20,5,13,-14,-18,-28,-51
-39,-10,32,32,-40,16,4,12,-14,-17,-28,-52
-41,4,44,25,-48,32,12,19,-9,-13,-24,-48
-40,-8,34,31,-42,18,9,14,-14,-16,-24,-47
-28,-4,26,21,-31,15,6,16,-14,-16,-26,-48
-38,-14,27,33,-36,10,5,14,-15,-17,-27,-53
-47,-13,37,39,-47,18,3,15,-12,-14,-24,-48
-28,-7,23,23,-29,11,0,12,-13,-14,-26,-49
-42,1,43,28,-48,29,5,17,-9,-10,-18,-44
-46,-8,39,35,-48,22,5,19,-9,-10,-19,-44
-33,6,38,19,-40,28,7,23,-8,-8,-17,-44
-29,2,32,19,-34,22,7,14,-11,-14,-23,-49
-25,7,31,13,-31,24,6,16,-10,-11,-21,-44
-38,-7,33,29,-40,18,11,20,-7,-10,-21,-46
-27,-4,24,20,-29,14,8,17,-12,-16,-26,-48
-28,-8,22,23,-28,10,9,16,-12,-18,-31,-55
-34,-14,23,31,-32,7,9,18,-14,-17,-29,-56
-44,-8,38,34,-47,21,18,27,-7,-14,-26,-49
-22,-2,21,17,-24,12,10,20,-13,-16,-29,-55
-33,2,36,21,-39,25,11,23,-10,-13,-26,-52
-35,2,37,22,-40,26,16,27,-8,-11,-24,-48
-33,1,35,22,-38,24,13,25,-9,-12,-25,-49
-32,7,38,17,-39,30,15,28,-4,-11,-20,-46
-32,-7,27,25,-33,14,14,31,-2,-8,-19,-47
-23,-5,20,19,-24,10,13,27,-4,-11,-24,-52
-22,9,30,11,-29,24,20,34,1,-6,-17,-47
-22,9,29,10,-28,24,20,40,5,-2,-13,-41
-6,6,11,1,-9,10,13,37,3,-3,-13,-39
-6,12,16,-2,-12,17,11,37,4,-5,-13,-41
-12,21,30,-3,-23,31,23,48,11,1,-8,-32
-13,12,23,3,-20,22,23,47,8,1,-10,-37
-6,6,11,1,-9,10,15,46,6,-3,-13,-40
5,9,3,-7,1,7,15,47,8,-1,-13,-41
1,4,3,-2,-1,5,13,46,7,-1,-14,-44
3,13,8,-8,-3,13,12,44,7,-1,-13,-44
-7,10,16,-1,-12,16,13,45,12,3,-8,-38
-6,18,21,-5,-15,24,12,48,12,5,-3,-33
-11,18,26,-2,-20,27,13,44,11,4,-4,-33
15,24,6,-22,5,17,6,35,3,-2,-7,-38
-4,13,15,-4,-10,17,7,31,2,-2,-9,-38
-17,-2,16,13,-19,9,8,27,-3,-6,-10,-41
-12,6,17,5,-16,14,6,21,-5,-8,-14,-44
-17,4,21,9,-21,16,3,21,-7,-7,-13,-44
-23,-4,21,18,-25,11,-1,17,-9,-10,-18,-46
-13,-8,7,13,-11,0,1,20,-8,-12,-20,-47
-18,-14,7,20,-14,-3,3,25,-8,-11,-20,-44
-8,-32,-19,23,6,-30,-1,19,-14,-18,-27,-56
-7,-23,-12,17,3,-21,-2,19,-16,-20,-27,-57
-23,-19,8,26,-18,-5,4,27,-12,-14,-20,-48
-15,-17,2,20,-10,-9,-3,19,-12,-14,-22,-54
-24,-11,16,23,-23,4,0,20,-11,-13,-22,-51
-22,-14,11,23,-18,-1,-1,14,-14,-16,-25,-53
-18,-11,9,18,-15,0,-1,14,-17,-19,-27,-60
-30,-14,19,28,-28,5,0,13,-18,-20,-31,-65
-40,-10,32,32,-41,16,2,13,-18,-19,-29,-59
-26,-10,18,23,-25,7,1,12,-22,-21,-30,-62
-41,-32,15,45,-31,-8,0,9,-23,-25,-36,-68
-40,-23,22,40,-35,1,5,16,-20,-23,-31,-66
-44,-23,26,42,-40,4,9,18,-20,-22,-31,-66
-61,-45,24,64,-48,-9,4,11,-21,-23,-36,-70
-57,-31,32,54,-50,4,9,15,-17,-23,-33,-67
-55,-23,36,49,-51,11,13,21,-14,-18,-26,-64
-49,-8,42,37,-51,24,13,25,-12,-16,-23,-58
-53,-14,42,43,-53,20,14,21,-12,-17,-29,-64
-50,-14,38,41,-49,18,10,15,-14,-20,-32,-66
-37,-10,30,31,-38,14,8,13,-17,-22,-32,-68
-21,-13,11,21,-18,0,5,10,-20,-25,-39,-73
-65,-11,56,49,-68,31,12,14,-17,-21,-31,-67
-58,-20,42,50,-56,17,9,9,-20,-22,-33,-73
-48,-18,33,42,-46,12,8,13,-21,-24,-33,-69
-48,-25,27,45,-42,4,7,14,-22,-25,-33,-70
-48,-24,28,45,-43,5,8,11,-22,-25,-35,-72
-42,-20,26,39,-38,6,8,15,-20,-23,-32,-71
-41,-15,29,36,-40,11,8,16,-15,-19,-30,-67
-46,-11,37,37,-47,18,13,23,-12,-19,-28,-65
-55,-24,35,50,-51,9,8,14,-14,-19,-31,-67
-52,-28,30,50,-46,5,9,14,-18,-23,-36,-71
-61,-19,46,51,-60,20,14,17,-14,-18,-28,-66
-41,-19,26,38,-37,7,8,8,-19,-22,-34,-73
-39,-12,30,33,-39,13,9,13,-17,-21,-29,-66
-43,-21,26,41,-39,5,10,12,-18,-22,-31,-70
-38,-11,30,32,-39,13,9,11,-18,-23,-31,-70
-46,-14,34,38,-45,15,9,12,-20,-24,-32,-73
-44,-26,23,44,-38,1,9,11,-21,-26,-37,-78
-45,-10,37,35,-47,20,14,17,-17,-22,-34,-74
-49,-11,40,39,-50,20,12,18,-13,-18,-31,-73
-52,-15,39,42,-51,18,11,12,-16,-21,-33,-79
-41,-10,33,33,-42,17,12,14,-15,-22,-34,-80
-55,-4,52,39,-61,33,12,14,-12,-18,-32,-78
-46,-8,39,35,-48,22,9,14,-14,-21,-33,-78
-59,-13,48,46,-60,25,10,16,-11,-19,-29,-71
-38,-5,34,28,-41,20,10,11,-14,-20,-31,-73
-43,-17,30,39,-41,10,13,14,-18,-22,-32,-73
-37,-13,27,32,-36,11,16,18,-14,-20,-26,-69
-56,-20,39,48,-53,15,14,13,-12,-19,-28,-72
-43,-14,32,37,-42,13,14,19,-10,-20,-27,-72
-46,-7,41,35,-49,24,16,21,-9,-15,-24,-68
-42,-2,41,30,-47,26,14,21,-12,-17,-28,-73
-41,-2,39,29,-45,25,12,17,-10,-16,-28,-77
-60,-13,49,46,-61,26,22,25,-8,-17,-31,-79
-75,-4,72,52,-83,46,29,32,-5,-21,-36,-85
-83,-2,82,56,-93,54,41,38,-8,-31,-50,-100
-85,2,87,55,-96,59,59,52,-4,-36,-56,-111
-112,-12,102,80,-120,62,74,72,8,-32,-53,-113
-101,7,107,63,-117,76,83,81,18,-27,-50,-111
-97,19,112,54,-117,86,81,76,19,-22,-41,-105
-97,16,109,55,-116,82,74,69,17,-13,-33,-94
-69,18,83,36,-86,65,63,68,17,0,-15,-76
-26,12,36,11,-35,30,38,49,19,21,5,-55
-9,-9,2,11,-6,-3,9,30,14,45,33,-24
41,-2,-42,-25,47,-29,-27,5,5,70,64,8
90,12,-80,-65,96,-47,-67,-20,8,115,112,54
137,15,-123,-97,147,-75,-108,-46,11,156,160,103
199,36,-167,-149,207,-92,-154,-89,11,188,196,139
247,64,-192,-196,248,-94,-189,-118,15,220,231,177
271,99,-187,-231,259,-72,-225,-161,13,244,259,208
287,121,-185,-253,266,-58,-255,-199,-7,241,263,221
290,166,-151,-280,249,-9,-280,-232,-12,246,270,230
287,201,-119,-297,228,31,-294,-250,-28,232,256,224
247,116,-150,-224,224,-37,-281,-239,-58,183,205,183
229,51,-185,-177,233,-96,-260,-228,-102,107,136,128
199,-18,-211,-120,232,-152,-239,-207,-157,21,66,80
138,-114,-229,-28,207,-217,-204,-186,-207,-68,-15,13
86,-189,-240,46,184,-266,-171,-175,-258,-150,-94,-55
40,-224,-222,96,148,-273,-145,-173,-315,-218,-153,-110
9,-229,-196,119,116,-258,-130,-165,-311,-225,-166,-131
-32,-230,-156,146,70,-232,-110,-150,-282,-208,-161,-138
-41,-209,-130,141,51,-202,-87,-128,-247,-188,-152,-140
-48,-195,-111,137,36,-182,-76,-108,-219,-172,-148,-149
-62,-188,-92,143,17,-166,-65,-85,-187,-152,-136,-147
-61,-149,-61,121,1,-123,-50,-63,-156,-126,-119,-138
-62,-140,-52,117,-6,-112,-45,-48,-133,-112,-109,-134
-53,-111,-38,95,-8,-87,-32,-28,-107,-94,-97,-126
-52,-88,-20,82,-18,-61,-15,-5,-80,-72,-79,-113
-44,-63,-7,64,-21,-40,-1,13,-59,-58,-68,-109
-30,-42,-4,43,-15,-26,14,28,-39,-43,-51,-97
-39,-34,12,44,-29,-11,24,42,-22,-30,-38,-90
-39,-23,21,39,-34,1,27,48,-11,-22,-30,-85
-37,-19,22,35,-33,4,26,41,-7,-19,-27,-84
-44,-16,32,39,-43,12,29,38,-3,-16,-26,-79
-40,-11,32,33,-41,15,29,37,-1,-14,-24,-78
-32,1,33,21,-36,23,29,37,3,-13,-26,-77
