I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0,-8,-6,5,3,-8,5,-1,0,-2,-1,-5
-2,-8,-4,6,1,-6,6,-1,0,-2,-1,-5
-3,-8,-4,7,0,-6,5,-1,0,-2,-2,-5
-4,-8,-3,8,-0,-6,4,-2,0,-2,-2,-5
-6,-10,-2,10,-2,-6,4,-2,-0,-3,-2,-5
-6,-10,-1,11,-3,-5,4,-2,-0,-3,-2,-5
-6,-11,-2,11,-2,-6,4,-2,-0,-2,-1,-5
-6,-11,-2,11,-2,-6,5,-1,0,-2,-1,-4
-5,-11,-3,10,-1,-7,6,-1,0,-2,-1,-4
-5,-11,-3,10,-1,-7,7,-0,0,-1,0,-3
-5,-11,-4,10,-0,-8,6,-1,0,-2,0,-3
-4,-11,-5,9,1,-8,6,-1,0,-2,0,-3
-3,-11,-5,9,1,-9,5,-1,0,-2,0,-3
-2,-11,-6,8,3,-9,5,-1,0,-2,0,-3
0,-10,-8,6,5,-10,5,-1,0,-2,0,-3
3,-8,-10,3,7,-10,5,-1,0,-2,0,-3
5,-8,-12,1,9,-11,5,-0,0,-2,0,-3
8,-6,-13,-2,12,-11,5,0,1,-1,0,-3
7,-6,-12,-2,11,-11,4,0,1,-1,0,-3
6,-5,-11,-1,9,-9,4,0,1,-1,0,-3
5,-5,-10,-1,9,-9,4,0,1,-1,0,-3
5,-4,-8,-1,7,-7,4,0,1,-1,0,-2
5,-4,-9,-2,8,-7,3,0,1,-1,0,-2
5,-4,-9,-2,8,-7,3,0,1,-1,1,-2
5,-4,-9,-2,8,-7,2,0,1,-1,1,-2
5,-4,-9,-2,8,-7,2,0,1,-0,1,-2
4,-5,-8,1,7,-8,1,0,1,-0,1,-2
3,-5,-7,1,6,-7,1,0,1,-0,1,-2
1,-6,-6,3,4,-7,1,0,1,-0,1,-2
-0,-6,-5,4,3,-6,1,1,1,0,2,-2
0,-6,-5,4,3,-6,1,1,1,0,2,-2
1,-6,-6,3,4,-7,1,1,1,0,2,-2
2,-6,-7,2,5,-7,1,1,1,0,2,-2
3,-6,-8,2,6,-8,1,1,2,0,2,-2
2,-8,-8,3,6,-9,1,1,2,0,2,-2
2,-8,-8,3,6,-9,2,1,2,0,3,-2
2,-8,-8,3,6,-9,2,1,2,0,3,-2
2,-8,-8,3,6,-9,3,2,3,0,3,-2
5,-6,-11,0,9,-9,2,1,3,0,3,-1
8,-5,-12,-3,11,-10,1,1,3,1,3,-0
10,-4,-14,-5,13,-11,1,1,3,1,4,0
13,-2,-16,-9,16,-11,1,1,3,1,4,1
14,-8,-21,-6,19,-17,-0,0,1,-0,3,-2
14,-13,-26,-4,22,-22,-1,-1,0,-2,1,-4
14,-19,-30,0,24,-28,-2,-2,-1,-4,-1,-7
14,-24,-35,3,27,-34,-2,-2,-2,-5,-3,-9
1,10,7,-7,-2,10,7,1,2,1,5,3
-16,-14,6,21,-12,-3,14,6,6,6,9,8
3,-3,-5,0,4,-4,6,1,3,2,6,3
3,-91,-76,49,43,-94,60,-1,-45,-61,-60,-67
-5,43,40,-21,-23,47,-1,4,30,51,61,56
8,18,6,-16,2,13,-6,2,18,29,35,27
14,1,-14,-11,16,-8,-7,-1,9,17,21,13
-8,-16,-4,16,-3,-11,3,3,11,17,20,14
-16,-18,3,23,-10,-7,5,4,10,14,17,11
-7,-24,-12,19,3,-19,-2,2,6,9,13,8
7,-2,-9,-4,9,-7,4,1,3,4,8,4
7,9,0,-10,4,5,3,-1,-1,-2,3,1
10,7,-6,-11,9,0,1,-6,-9,-8,-2,-2
-12,-15,1,18,-7,-7,-0,-8,-11,-8,-2,0
-25,-38,-4,40,-12,-21,5,-7,-11,-10,-4,-2
-25,-30,3,36,-16,-13,1,-11,-16,-18,-11,-5
-16,-27,-5,28,-6,-17,-10,-20,-30,-32,-20,-11
-26,-28,6,37,-18,-10,-2,-22,-33,-37,-21,-5
-21,-24,4,30,-13,-10,-8,-27,-41,-47,-25,-1
0,-3,-3,2,2,-3,-19,-40,-56,-63,-36,-4
-3,11,12,-4,-8,13,-24,-47,-67,-75,-42,-3
-9,28,32,-8,-22,35,-28,-56,-78,-88,-51,2
16,40,15,-35,2,30,-51,-71,-96,-108,-67,-9
8,11,-0,-13,6,6,-63,-82,-108,-120,-75,-5
1,18,13,-11,-6,18,-70,-98,-124,-134,-83,-1
-9,17,23,-3,-17,23,-89,-120,-149,-158,-103,-8
7,39,24,-27,-8,35,-111,-144,-173,-182,-122,-16
-23,17,38,9,-33,33,-123,-159,-193,-201,-136,-22
-24,8,32,14,-30,24,-134,-175,-212,-220,-153,-27
-17,14,29,5,-24,26,-156,-194,-231,-239,-170,-31
-7,19,23,-5,-15,24,-162,-211,-248,-252,-183,-35
-16,37,47,-8,-33,49,-167,-225,-259,-260,-193,-36
-21,40,55,-6,-41,55,-198,-252,-282,-279,-212,-48
-34,57,82,-6,-63,81,-217,-269,-298,-292,-228,-58
-31,68,88,-14,-64,90,-232,-278,-308,-301,-240,-67
-67,45,108,27,-95,92,-229,-284,-309,-297,-242,-70
-74,71,137,17,-115,123,-232,-293,-314,-296,-243,-72
-79,100,165,4,-132,156,-231,-299,-314,-287,-237,-67
-77,101,164,2,-131,156,-242,-310,-320,-293,-242,-73
-76,91,155,8,-125,145,-265,-326,-333,-302,-243,-68
-86,79,156,22,-132,139,-290,-342,-343,-308,-242,-60
-105,59,160,47,-144,132,-310,-346,-344,-312,-243,-60
-90,42,131,45,-120,105,-319,-344,-341,-315,-246,-63
-83,8,96,59,-98,65,-321,-329,-328,-315,-245,-67
-69,-22,57,66,-70,25,-332,-320,-320,-317,-246,-73
-59,-42,31,70,-50,-2,-344,-312,-308,-312,-237,-62
-2,-53,-40,32,20,-52,-350,-301,-295,-309,-234,-65
-24,-109,-61,80,19,-94,-342,-284,-279,-302,-230,-65
9,-108,-96,54,57,-116,-339,-266,-261,-291,-220,-62
23,-116,-117,48,75,-133,-328,-245,-239,-274,-209,-59
32,-129,-138,48,92,-153,-311,-227,-221,-262,-203,-58
36,-140,-150,52,100,-166,-293,-208,-205,-252,-197,-61
75,-149,-200,27,149,-202,-287,-198,-196,-250,-198,-69
77,-179,-226,42,164,-234,-277,-187,-185,-241,-191,-69
66,-198,-230,61,160,-246,-264,-177,-175,-234,-185,-71
71,-205,-239,62,168,-256,-254,-168,-166,-224,-178,-69
87,-188,-244,40,179,-250,-248,-162,-157,-214,-169,-66
80,-191,-238,47,172,-248,-228,-147,-141,-195,-150,-55
99,-155,-231,12,180,-226,-216,-134,-127,-175,-133,-41
120,-112,-219,-29,185,-196,-203,-119,-110,-154,-114,-28
127,-98,-215,-41,187,-187,-192,-107,-98,-138,-100,-19
125,-98,-213,-40,184,-185,-181,-94,-85,-122,-87,-9
135,-93,-220,-51,194,-187,-175,-86,-76,-112,-79,-7
155,-81,-232,-72,212,-189,-163,-74,-65,-100,-68,-5
134,-99,-224,-46,195,-192,-153,-64,-56,-91,-63,-8
119,-79,-191,-46,170,-162,-142,-58,-50,-82,-56,-7
118,-73,-185,-49,166,-155,-130,-51,-42,-71,-46,-4
90,-86,-166,-20,140,-149,-105,-40,-33,-59,-39,-7
119,-56,-173,-59,160,-138,-93,-29,-24,-49,-33,-9
108,-53,-158,-52,146,-127,-80,-23,-17,-39,-27,-11
87,-38,-124,-45,115,-98,-66,-14,-9,-27,-19,-8
70,-32,-101,-36,94,-80,-50,-4,1,-13,-9,-3
50,-14,-65,-30,64,-49,-38,0,5,-5,-4,-2
18,-10,-28,-8,25,-22,-22,8,12,5,6,4
14,-4,-18,-8,18,-13,-4,14,19,14,13,5
16,-3,-19,-10,19,-13,1,17,20,17,15,2
29,-1,-32,-21,34,-20,0,16,20,16,14,-4
5,-12,-15,3,11,-15,9,19,23,18,15,-5
7,1,-6,-6,8,-3,13,23,24,20,16,-5
0,-1,-1,1,1,-1,17,23,27,24,20,-1
11,-5,-16,-5,15,-13,20,25,27,26,18,-3
-14,-23,-3,24,-6,-13,27,29,31,29,21,0
4,-19,-19,9,13,-22,17,25,26,22,14,-10
-13,-14,2,18,-8,-5,23,27,27,24,16,-7
-27,-12,20,28,-26,7,24,23,26,24,16,-8
-18,-23,1,27,-10,-11,21,23,24,21,15,-10
-1,-16,-12,11,6,-16,22,24,25,22,17,-8
-24,-30,2,35,-14,-14,28,24,27,25,21,-5
-4,-6,-0,7,-2,-3,30,29,30,29,23,-0
-4,-1,4,4,-4,2,35,29,32,33,27,2
-4,15,16,-5,-10,18,40,34,35,37,30,7
-7,-3,5,8,-7,2,37,34,34,34,25,-1
-9,-3,7,9,-9,3,37,33,34,34,25,-1
-9,-2,8,8,-9,4,36,32,34,34,25,-1
-10,-1,10,9,-11,6,35,31,33,34,25,-1
-11,0,12,9,-12,8,35,30,33,34,25,-1
-11,-2,11,10,-12,6,36,31,33,34,25,-2
-11,-4,8,11,-10,3,37,31,34,35,26,-2
-11,-7,7,13,-10,1,38,31,34,35,26,-2
-11,-8,6,13,-9,0,40,32,35,36,27,-2
-10,-7,6,12,-9,0,40,33,36,37,28,-1
-8,-4,6,9,-8,2,42,34,37,39,29,0
-7,-2,6,7,-7,3,43,35,38,40,31,1
-5,0,6,4,-6,4,44,36,39,42,32,2
-6,-1,6,6,-6,4,44,37,40,42,32,2
-6,-1,6,6,-6,4,44,37,41,43,33,2
-6,-1,6,6,-6,4,44,38,41,44,34,2
-6,-1,6,6,-6,4,45,39,42,45,35,3
-5,-1,4,4,-4,2,44,40,43,46,36,3
-4,-1,3,4,-3,2,44,40,44,47,36,4
-2,-1,1,2,-1,0,43,41,45,48,37,4
-1,-1,1,2,-1,0,43,42,46,49,39,5
-1,-1,1,2,-1,0,43,43,47,51,40,5
-0,0,1,1,0,1,44,44,49,53,41,6
0,1,1,-1,0,1,44,45,50,54,43,7
1,2,1,-2,1,2,44,47,52,56,45,7
0,3,2,-2,-0,3,45,48,53,59,46,8
0,4,2,-2,-1,4,46,49,55,61,48,10
0,4,4,-2,-1,4,47,50,56,63,50,11
-0,6,5,-3,-2,6,47,52,58,65,52,12
-0,8,7,-4,-3,9,49,53,60,68,54,13
-1,10,10,-5,-5,11,50,55,62,71,56,15
-1,12,11,-6,-6,13,52,57,64,73,59,16
-2,16,14,-7,-8,17,54,59,66,76,61,17
-1,17,15,-8,-8,18,55,60,68,79,64,18
-0,19,16,-10,-8,20,55,62,70,81,66,19
-1,20,17,-11,-9,21,56,63,72,84,68,20
-0,23,18,-12,-9,23,57,65,74,87,70,22
2,24,17,-15,-7,24,59,67,77,90,73,23
4,27,18,-18,-7,25,60,69,79,93,76,24
5,29,18,-20,-6,26,62,71,82,96,78,25
8,32,18,-24,-4,28,63,73,84,99,81,27
8,35,18,-26,-4,30,65,76,87,103,84,28
