I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-39, -175, -136, 107, 48, -156, 39, -97, -146, -117, -126, -107, 
-68, -185, -117, 126, 24, -151, 53, -58, -112, -92, -107, -107, 
-97, -195, -97, 146, 0, -146, 68, -19, -78, -68, -87, -107, 
-97, -185, -87, 141, -4, -136, 68, -9, -68, -53, -82, -97, 
-97, -175, -78, 136, -9, -126, 68, 0, -58, -39, -78, -87, 
-97, -175, -78, 136, -9, -126, 73, 9, -53, -39, -73, -87, 
-97, -175, -78, 136, -9, -126, 78, 19, -48, -39, -68, -87, 
-97, -175, -78, 136, -9, -126, 82, 29, -43, -34, -63, -87, 
-97, -175, -78, 136, -9, -126, 87, 39, -39, -29, -58, -87, 
-92, -170, -78, 131, -7, -124, 87, 43, -34, -29, -58, -87, 
-87, -165, -78, 126, -4, -122, 87, 48, -29, -29, -58, -87, 
-87, -165, -78, 126, -4, -122, 87, 48, -29, -29, -58, -87, 
-87, -165, -78, 126, -4, -122, 87, 48, -29, -29, -58, -87, 
-87, -165, -78, 126, -4, -122, 92, 58, -24, -24, -58, -87, 
-87, -165, -78, 126, -4, -122, 97, 68, -19, -19, -58, -87, 
-87, -165, -78, 126, -4, -122, 107, 68, -14, -14, -53, -82, 
-87, -165, -78, 126, -4, -122, 117, 68, -9, -9, -48, -78, 
-82, -161, -78, 122, -2, -119, 107, 73, -9, -4, -48, -78, 
-78, -156, -78, 117, 0, -117, 97, 78, -9, 0, -48, -78, 
-73, -146, -73, 109, 0, -109, 87, 82, 0, 4, -43, -73, 
-68, -136, -68, 102, 0, -102, 78, 87, 9, 9, -39, -68, 
-68, -136, -68, 102, 0, -102, 78, 92, 14, 14, -34, -63, 
-68, -136, -68, 102, 0, -102, 78, 97, 19, 19, -29, -58, 
-73, -131, -58, 102, -7, -95, 82, 107, 24, 19, -24, -53, 
-78, -126, -48, 102, -14, -87, 87, 117, 29, 19, -19, -48, 
-78, -126, -48, 102, -14, -87, 92, 122, 34, 24, -14, -48, 
-78, -126, -48, 102, -14, -87, 97, 126, 39, 29, -9, -48, 
-82, -126, -43, 104, -19, -85, 97, 131, 43, 34, -9, -43, 
-87, -126, -39, 107, -24, -82, 97, 136, 48, 39, -9, -39, 
-87, -122, -34, 104, -26, -78, 97, 141, 58, 48, -4, -34, 
-87, -117, -29, 102, -29, -73, 97, 146, 68, 58, 0, -29, 
-87, -107, -19, 97, -34, -63, 92, 156, 73, 63, 4, -29, 
-87, -97, -9, 92, -39, -53, 87, 165, 78, 68, 9, -29, 
-87, -97, -9, 92, -39, -53, 87, 170, 82, 73, 9, -24, 
-87, -97, -9, 92, -39, -53, 87, 175, 87, 78, 9, -19, 
-92, -97, -4, 95, -43, -51, 87, 185, 97, 87, 19, -19, 
-97, -97, 0, 97, -48, -48, 87, 195, 107, 97, 29, -19, 
-97, -92, 4, 95, -51, -43, 87, 204, 112, 102, 29, -14, 
-97, -87, 9, 92, -53, -39, 87, 214, 117, 107, 29, -9, 
-102, -82, 19, 92, -61, -31, 92, 224, 131, 117, 39, -4, 
-107, -78, 29, 92, -68, -24, 97, 234, 146, 126, 48, 0, 
-107, -73, 34, 90, -70, -19, 97, 244, 156, 131, 53, 0, 
-107, -68, 39, 87, -73, -14, 97, 253, 165, 136, 58, 0, 
-102, -58, 43, 80, -73, -7, 92, 268, 175, 146, 63, 0, 
-97, -48, 48, 73, -73, 0, 87, 283, 185, 156, 68, 0, 
-97, -48, 48, 73, -73, 0, 87, 287, 195, 165, 73, 4, 
-97, -48, 48, 73, -73, 0, 87, 292, 204, 175, 78, 9, 
-117, -48, 68, 82, -92, 9, 97, 297, 214, 185, 87, 14, 
-136, -48, 87, 92, -112, 19, 107, 302, 224, 195, 97, 19, 
-136, -43, 92, 90, -114, 24, 107, 312, 234, 204, 102, 24, 
-136, -39, 97, 87, -117, 29, 107, 322, 244, 214, 107, 29, 
-131, -34, 97, 82, -114, 31, 97, 322, 244, 219, 112, 29, 
-126, -29, 97, 78, -112, 34, 87, 322, 244, 224, 117, 29, 
-122, -14, 107, 68, -114, 46, 78, 326, 248, 229, 122, 39, 
-117, 0, 117, 58, -117, 58, 68, 331, 253, 234, 126, 48, 
-112, 9, 122, 51, -117, 65, 63, 331, 253, 239, 131, 58, 
