I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
19, 9, -9, -14, 14, 0, 48, 0, -58, -58, -117, 0, 
19, 9, -9, -14, 14, 0, 48, 0, -58, -58, -117, 0, 
19, 9, -9, -14, 14, 0, 48, 0, -58, -58, -117, 0, 
19, 9, -9, -14, 14, 0, 29, -4, -58, -58, -117, 0, 
19, 9, -9, -14, 14, 0, 9, -9, -58, -58, -117, 0, 
29, 24, -4, -26, 17, 9, -4, -19, -58, -58, -107, 9, 
39, 39, 0, -39, 19, 19, -19, -29, -58, -58, -97, 19, 
43, 39, -4, -41, 24, 17, -19, -29, -58, -58, -97, 19, 
43, 43, 0, -43, 21, 21, -24, -34, -58, -58, -97, 14, 
48, 48, 0, -48, 24, 24, -34, -43, -63, -58, -97, 14, 
53, 58, 4, -56, 24, 31, -48, -48, -82, -68, -97, 4, 
58, 58, 0, -58, 29, 29, -58, -58, -82, -58, -97, 24, 
58, 43, -14, -51, 36, 14, -53, -53, -82, -53, -92, 39, 
53, 48, -4, -51, 29, 21, -48, -53, -78, -43, -82, 39, 
53, 53, 0, -53, 26, 26, -39, -48, -73, -39, -78, 34, 
43, 53, 9, -48, 17, 31, -29, -48, -73, -48, -87, 24, 
29, 53, 24, -41, 2, 39, -24, -53, -73, -53, -97, 14, 
14, 29, 14, -21, 0, 21, -19, -63, -87, -73, -112, 4, 
4, 9, 4, -7, 0, 7, -14, -68, -102, -97, -122, -9, 
0, -9, -9, 4, 4, -9, -9, -63, -107, -87, -117, -9, 
-9, -43, -34, 26, 12, -39, -4, -73, -122, -87, -126, -14, 
-9, -63, -53, 36, 21, -58, -4, -73, -122, -97, -141, -19, 
-19, -82, -63, 51, 21, -73, 0, -73, -136, -112, -161, -43, 
-24, -102, -78, 63, 26, -90, 0, -78, -141, -126, -175, -58, 
-34, -107, -73, 70, 19, -90, 4, -82, -146, -131, -180, -73, 
-39, -126, -87, 82, 24, -107, 0, -78, -146, -141, -175, -73, 
-43, -126, -82, 85, 19, -104, -4, -82, -136, -146, -180, -73, 
-48, -131, -82, 90, 17, -107, -4, -87, -151, -156, -190, -82, 
-48, -131, -82, 90, 17, -107, -4, -87, -156, -151, -195, -87, 
-48, -126, -78, 87, 14, -102, -4, -87, -156, -151, -195, -87, 
-48, -131, -82, 90, 17, -107, 0, -82, -156, -151, -195, -87, 
-48, -131, -82, 90, 17, -107, 0, -82, -156, -151, -195, -78, 
-48, -131, -82, 90, 17, -107, 0, -82, -156, -156, -200, -78, 
-53, -131, -78, 92, 12, -104, 0, -87, -156, -156, -200, -87, 
-53, -126, -73, 90, 9, -100, 4, -92, -156, -156, -200, -92, 
-53, -126, -73, 90, 9, -100, 4, -92, -156, -156, -200, -92, 
-53, -126, -73, 90, 9, -100, 4, -92, -161, -161, -200, -97, 
-53, -136, -82, 95, 14, -109, 9, -87, -161, -161, -200, -97, 
-53, -151, -97, 102, 21, -124, 14, -82, -156, -161, -200, -97, 
-58, -156, -97, 107, 19, -126, 19, -82, -156, -161, -200, -92, 
-58, -156, -97, 107, 19, -126, 19, -82, -156, -156, -200, -92, 
-58, -146, -87, 102, 14, -117, 19, -87, -156, -156, -200, -92, 
-53, -131, -78, 92, 12, -104, 14, -92, -156, -161, -200, -97, 
-53, -131, -78, 92, 12, -104, 14, -92, -156, -161, -195, -92, 
