I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-19, 97, 117, -39, -68, 107, 214, 819, 634, -9, -78, -58, 
-29, 82, 112, -26, -70, 97, 214, 771, 585, -39, -97, -68, 
-39, 68, 107, -14, -73, 87, 214, 722, 536, -68, -117, -78, 
-43, 43, 87, 0, -65, 65, 204, 658, 468, -107, -141, -92, 
-48, 19, 68, 14, -58, 43, 195, 595, 400, -146, -165, -107, 
-53, -4, 48, 29, -51, 21, 185, 527, 336, -170, -180, -117, 
-58, -29, 29, 43, -43, 0, 175, 458, 273, -195, -195, -126, 
-58, -53, 4, 56, -31, -24, 161, 385, 209, -204, -204, -126, 
-58, -78, -19, 68, -19, -48, 146, 312, 146, -214, -214, -126, 
-53, -87, -34, 70, -9, -61, 126, 248, 102, -214, -204, -126, 
-48, -97, -48, 73, 0, -73, 107, 185, 58, -214, -195, -126, 
-48, -102, -53, 75, 2, -78, 97, 126, 14, -200, -180, -122, 
-48, -107, -58, 78, 4, -82, 87, 68, -29, -185, -165, -117, 
-48, -107, -58, 78, 4, -82, 68, 39, -43, -161, -146, -102, 
-48, -107, -58, 78, 4, -82, 48, 9, -58, -136, -126, -87, 
-43, -97, -53, 70, 4, -75, 34, -24, -68, -126, -112, -82, 
-39, -87, -48, 63, 4, -68, 19, -58, -78, -117, -97, -78, 
-39, -87, -48, 63, 4, -68, 4, -63, -87, -97, -82, -68, 
-39, -87, -48, 63, 4, -68, -9, -68, -97, -78, -68, -58, 
-39, -82, -43, 61, 2, -63, -9, -82, -97, -73, -63, -53, 
-39, -78, -39, 58, 0, -58, -9, -97, -97, -68, -58, -48, 
-39, -78, -39, 58, 0, -58, -14, -102, -97, -63, -53, -43, 
-39, -78, -39, 58, 0, -58, -19, -107, -97, -58, -48, -39, 
-39, -73, -34, 56, -2, -53, -19, -107, -97, -53, -43, -39, 
-39, -68, -29, 53, -4, -48, -19, -107, -97, -48, -39, -39, 
-34, -68, -34, 51, 0, -51, -19, -107, -97, -48, -39, -39, 
-29, -68, -39, 48, 4, -53, -19, -107, -97, -48, -39, -39, 
-29, -68, -39, 48, 4, -53, -19, -107, -92, -43, -34, -39, 
-29, -68, -39, 48, 4, -53, -19, -107, -87, -39, -29, -39, 
-29, -68, -39, 48, 4, -53, -19, -102, -87, -34, -29, -34, 
-29, -68, -39, 48, 4, -53, -19, -97, -87, -29, -29, -29, 
-29, -68, -39, 48, 4, -53, -19, -97, -82, -29, -24, -29, 
-29, -68, -39, 48, 4, -53, -19, -97, -78, -29, -19, -29, 
-29, -68, -39, 48, 4, -53, -19, -92, -78, -29, -19, -29, 
-29, -68, -39, 48, 4, -53, -19, -87, -78, -29, -19, -29, 
-29, -63, -34, 46, 2, -48, -19, -87, -78, -29, -19, -29, 
-29, -58, -29, 43, 0, -43, -19, -87, -78, -29, -19, -29, 
-29, -58, -29, 43, 0, -43, -14, -87, -78, -29, -24, -29, 
-29, -58, -29, 43, 0, -43, -9, -87, -78, -29, -29, -29, 
-29, -63, -34, 46, 2, -48, -9, -82, -78, -29, -29, -29, 
-29, -68, -39, 48, 4, -53, -9, -78, -78, -29, -29, -29, 
-29, -68, -39, 48, 4, -53, -14, -78, -78, -29, -29, -29, 
-29, -68, -39, 48, 4, -53, -19, -78, -78, -29, -29, -29, 
-29, -63, -34, 46, 2, -48, -19, -82, -78, -29, -29, -29, 
-29, -58, -29, 43, 0, -43, -19, -87, -78, -29, -29, -29, 
-29, -58, -29, 43, 0, -43, -19, -87, -78, -29, -29, -29, 
-29, -58, -29, 43, 0, -43, -19, -87, -78, -29, -29, -29, 
-29, -63, -34, 46, 2, -48, -19, -82, -78, -29, -29, -29, 
-29, -68, -39, 48, 4, -53, -19, -78, -78, -29, -29, -29, 
-34, -68, -34, 51, 0, -51, -19, -78, -78, -34, -29, -34, 
-39, -68, -29, 53, -4, -48, -19, -78, -78, -39, -29, -39, 
-39, -68, -29, 53, -4, -48, -19, -82, -78, -39, -34, -39, 
-39, -68, -29, 53, -4, -48, -19, -87, -78, -39, -39, -39, 
-39, -68, -29, 53, -4, -48, -19, -87, -82, -39, -39, -39, 
-39, -68, -29, 53, -4, -48, -19, -87, -87, -39, -39, -39, 
-39, -73, -34, 56, -2, -53, -19, -92, -87, -39, -39, -39, 
-39, -78, -39, 58, 0, -58, -19, -97, -87, -39, -39, -39, 
-39, -78, -39, 58, 0, -58, -24, -97, -87, -39, -39, -39, 
-39, -78, -39, 58, 0, -58, -29, -97, -87, -39, -39, -39, 
-39, -78, -39, 58, 0, -58, -29, -97, -92, -43, -39, -39, 
-39, -78, -39, 58, 0, -58, -29, -97, -97, -48, -39, -39, 
-39, -78, -39, 58, 0, -58, -29, -102, -97, -48, -39, -39, 
-39, -78, -39, 58, 0, -58, -29, -107, -97, -48, -39, -39, 
-39, -78, -39, 58, 0, -58, -29, -107, -97, -48, -39, -39, 
-39, -78, -39, 58, 0, -58, -29, -107, -97, -48, -39, -39, 
-39, -78, -39, 58, 0, -58, -29, -112, -102, -48, -39, -39, 
-39, -78, -39, 58, 0, -58, -29, -117, -107, -48, -39, -39, 
-39, -78, -39, 58, 0, -58, -29, -117, -107, -48, -39, -39, 
-39, -78, -39, 58, 0, -58, -29, -117, -107, -48, -39, -39, 
-43, -78, -34, 61, -4, -56, -29, -117, -107, -48, -39, -39, 
-48, -78, -29, 63, -9, -53, -29, -117, -107, -48, -39, -39, 
-48, -78, -29, 63, -9, -53, -29, -117, -107, -48, -39, -39, 
-48, -78, -29, 63, -9, -53, -29, -117, -107, -48, -39, -39, 
-43, -78, -34, 61, -4, -56, -34, -122, -112, -48, -39, -39, 
-39, -78, -39, 58, 0, -58, -39, -126, -117, -48, -39, -39, 
-39, -78, -39, 58, 0, -58, -39, -126, -117, -53, -39, -39, 
-39, -78, -39, 58, 0, -58, -39, -126, -117, -58, -39, -39, 
-39, -78, -39, 58, 0, -58, -39, -126, -117, -58, -43, -39, 
-39, -78, -39, 58, 0, -58, -39, -126, -117, -58, -48, -39, 
-43, -78, -34, 61, -4, -56, -39, -131, -117, -58, -48, -39, 
-48, -78, -29, 63, -9, -53, -39, -136, -117, -58, -48, -39, 
-48, -78, -29, 63, -9, -53, -39, -136, -117, -53, -48, -39, 
-48, -78, -29, 63, -9, -53, -39, -136, -117, -48, -48, -39, 
-48, -78, -29, 63, -9, -53, -39, -136, -117, -48, -43, -39, 
-48, -78, -29, 63, -9, -53, -39, -136, -117, -48, -39, -39, 
-43, -78, -34, 61, -4, -56, -39, -136, -117, -53, -39, -39, 
-39, -78, -39, 58, 0, -58, -39, -136, -117, -58, -39, -39, 
-39, -78, -39, 58, 0, -58, -43, -136, -117, -58, -39, -39, 
-39, -78, -39, 58, 0, -58, -48, -136, -117, -58, -39, -39, 
-39, -78, -39, 58, 0, -58, -48, -136, -117, -58, -39, -39, 
-39, -78, -39, 58, 0, -58, -48, -136, -117, -58, -39, -39, 
-39, -78, -39, 58, 0, -58, -43, -136, -117, -58, -39, -39, 
-39, -78, -39, 58, 0, -58, -39, -136, -117, -58, -39, -39, 
-39, -82, -43, 61, 2, -63, -39, -136, -117, -58, -39, -39, 
-39, -87, -48, 63, 4, -68, -39, -136, -117, -58, -39, -39, 
-39, -87, -48, 63, 4, -68, -39, -136, -117, -58, -39, -39, 
-39, -87, -48, 63, 4, -68, -39, -136, -117, -58, -39, -39, 
-39, -87, -48, 63, 4, -68, -39, -136, -122, -58, -39, -39, 
-39, -87, -48, 63, 4, -68, -39, -136, -126, -58, -39, -39, 
-39, -87, -48, 63, 4, -68, -39, -136, -126, -58, -43, -43, 
-39, -87, -48, 63, 4, -68, -39, -136, -126, -58, -48, -48, 
-39, -87, -48, 63, 4, -68, -39, -136, -122, -58, -48, -48, 
-39, -87, -48, 63, 4, -68, -39, -136, -117, -58, -48, -48, 
-34, -82, -48, 58, 7, -65, -29, -126, -107, -53, -43, -43, 
-29, -78, -48, 53, 9, -63, -19, -117, -97, -48, -39, -39, 
-29, -78, -48, 53, 9, -63, -14, -107, -92, -48, -39, -39, 
-19, -73, -53, 46, 17, -63, -4, -97, -87, -39, -29, -34, 
-14, -68, -53, 41, 19, -61, 0, -87, -82, -34, -24, -34, 
-4, -68, -63, 36, 29, -65, 14, -73, -73, -29, -19, -29, 
0, -68, -68, 34, 34, -68, 29, -68, -68, -24, -19, -29, 
9, -58, -68, 24, 39, -63, 39, -53, -53, -19, -14, -29, 
9, -48, -58, 19, 34, -53, 39, -34, -43, -9, -14, -19, 
24, -24, -48, 0, 36, -36, 39, -29, -34, 9, 4, 0, 
48, -4, -53, -21, 51, -29, 24, -24, -34, 9, 9, 0, 
63, -4, -68, -29, 65, -36, 29, -14, -34, 9, 9, 4, 
82, -29, -112, -26, 97, -70, 14, -9, -39, 9, 9, 0, 
102, -48, -151, -26, 126, -100, 4, -9, -58, 0, 0, -9, 
107, -34, -141, -36, 124, -87, -4, -24, -68, -9, -4, -9, 
107, -19, -126, -43, 117, -73, -34, -43, -82, -14, -4, -9, 
92, -9, -102, -41, 97, -56, -48, -73, -97, -24, -4, 0, 
78, -24, -102, -26, 90, -63, -68, -117, -117, -43, -14, -14, 
68, -34, -102, -17, 85, -68, -87, -131, -122, -43, -19, -14, 
78, -34, -112, -21, 95, -73, -97, -131, -122, -43, -19, -9, 
92, -34, -126, -29, 109, -80, -107, -117, -126, -39, -9, -4, 
117, -34, -151, -41, 134, -92, -112, -117, -126, -39, -4, 0, 
117, -24, -141, -46, 129, -82, -112, -122, -126, -39, -4, 0, 
112, -24, -136, -43, 124, -80, -112, -122, -136, -43, -9, 0, 
102, -29, -131, -36, 117, -80, -112, -136, -136, -48, -19, -9, 
87, -34, -122, -26, 104, -78, -117, -146, -146, -53, -29, -14, 
73, -39, -112, -17, 92, -75, -107, -146, -146, -53, -34, -14, 
68, -48, -117, -9, 92, -82, -97, -146, -141, -53, -39, -19, 
34, -58, -92, 12, 63, -75, -82, -141, -131, -53, -39, -24, 
-9, -63, -53, 36, 21, -58, -63, -131, -122, -53, -39, -24, 
-29, -73, -43, 51, 7, -58, -48, -131, -117, -53, -43, -34, 
-43, -82, -39, 63, -2, -61, -48, -136, -117, -53, -43, -34, 
-43, -87, -43, 65, 0, -65, -48, -146, -126, -53, -43, -43, 
-48, -87, -39, 68, -4, -63, -43, -156, -126, -58, -43, -43, 
-48, -87, -39, 68, -4, -63, -43, -156, -126, -58, -43, -43, 
-48, -87, -39, 68, -4, -63, -43, -156, -122, -58, -39, -43, 
-53, -92, -39, 73, -7, -65, -39, -151, -126, -53, -39, -43, 
-58, -92, -34, 75, -12, -63, -34, -151, -131, -53, -39, -43, 
-63, -97, -34, 80, -14, -65, -29, -151, -131, -53, -39, -43, 
-68, -97, -29, 82, -19, -63, -29, -151, -126, -53, -39, -43, 
